,title,kvadratura,broj_soba,sprat,namjesten,vrsta_grijanja,vrsta_oglasa,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,balkon,blindirana_vrata,internet,kablovska_tv,kanalizacija,klima,lift,novogradnja,struja,voda,tel_prikljucak,datum_objave,primarna_orijentacija,uknjizeno_zk,kucni_ljubimci,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,balkon,nedavno_adaptiran,details
40,"
                                                    Dvosoban stan od 45m2 sa 2 balkona, Lužani, Ilidža
                                                ",45,Dvosoban (2),3,Namješten,Centralno (gradsko),Prodaja,Karima Zaimovića,,,Parket,True,,True,True,True,,,,True,True,True,12.05.2023,Ostalo,True,,,,,,,True,,"TOP NEKRETNINE d.o.o. Sarajevo (Broj u registru posrednika FMT: 23/2022)  oglašava prodaju dvosobnog stana uknjižene površine 45m2, dok u naravi površina stana iznosi cca 50m2, na 3. spratu stambene zgrade bez lifta u ulici Karima Zaimovića, u naselju Lužani, Ilidža.KontaktEdin DelićAgent za nekretnineMob:    +387 61 800 069E-mail: agencija@topnekretnine.baKoševo 10/I 71000 Sarajevo, BiHTel:      +387 33 265 645Fax:     +387 33 265 646Web:    topnekretnine.ba"
41,"
                                                    DHM/STAN/ CENTAR
                                                ",69,Trosoban (3),1,Namješten,Centralno (gradsko),Prodaja,,,2010+,,,True,True,True,,,,,True,True,,21.05.2023,,True,,,,,,,,,"LINK ZA VIDEO:https://www.youtube.com/watch?v=_wMOlmT_j3UStan se nalazi na odlicnoj lokaciji u blizini ""Parkuše"" i ulice Čekaluša. Kvadratura 69,5m². Stan se sastoji od dvije sobe, dva wc-a, hodnika, ogromnog dnevnog boravka sa kuhinjom i terperzarijom. Pored toga, zgrada ima terasu sa koje se pruža prelijep pogled na grad. Objekat je novoizgrađen od visoko kvalitetnih materijala. Samo stubište je od mermera, dok u samom stanu kuhinja ima podno grijanje. Stan se prodaje namješten i nalazi se na prvom spratu. Zgrada posjeduje lift. Pored toga, sa stanom u sklopu zgrade se prodaje parking mjesto čija je cijena 30,000KM. Sav namještaj je pravljen po mjeri i kao stolarija u stanu, visokog je kvaliteta."
42,"
                                                    Prodaja/najam Adaptiran salonski stan Titova 123 m2
                                                ",64,Četverosoban (4),1,Namješten,Centralno (Kotlovnica),Prodaja,Titova,3,Prije 1950,Parket,True,True,True,True,True,True,True,True,True,True,True,12.09.2022,Sjeveroistok,True,,True,,True,,True,True,True,"Predivan salonski stan u strogom centru Sarajeva, isti je u potpunosti adaptiran, sto se moze vidjeti i na slikama, posjeduje 123 m2 i prvi je sprat. Sastoji od tri velike prostorije koje su pozicionirane na nacin da se iz istih pruza pogled na Titovu ulicu, velika trpezarija sa odvojenom kuhinjom se nalazi na drugoj strani zvrade i gleda na dvoriste. Stan ima vece kupatilo i manji toalet, kao i balkon.Nekretnina se prodaje s tim da postoji mogucnost i dugorocnog najma. Sve ostale inf. mozete dobiti na kontakt telefon: 061/556-221"
43,"
                                                    Dobrinja Bella Casa stan novogradnja prodaja
                                                ",35.5,Jednosoban (1),1,Namješten,Centralno (gradsko),Prodaja,"Novi Grad, Sarajevo, Senada Poturka Senčija",,,Parket,True,True,True,True,True,,,,True,True,True,01.07.2023,,True,,,,True,,True,True,,"Stanpromet.ba - agencija za nekretnine iz svoje ponude za prodaju izdvaja stan u jednoj od najboljih novogradnji na Dobrinji, zgrada Bella Casa.Stan površine 35.50m2 čine ulazni hodnik, balkon, kuhinja i dnevni boravak.Nekretnina se nalazi na prvom spratu, dvostrano orijentisana i ima svoje vlastito parking mjesto.Zgrada je ograđena sa kontrolisanim pristupom i video nadzorom, posjeduje svoje igralište za djecu, šetnicu, bazen (sve u krugu zgrade).Prodaje se sa ugradbenim elementima, kuhinja i plakari.Površina parkinga iznosi 13m².Cijena stana je 155.000KM.Za sve informacije kao i termin obilaska pozovite Vašeg agenta za nekretnine!Certificirani agent Haris KadićStanpromet.ba - agencija za nekretnineRegistarski broj posrednika 001/2022!Grbavička 8b, 71000 Sarajevo+387 62 801 801agencija@stanpromet.ba"
44,"
                                                    Stan Sarajevo - Centar Breka 113 m2
                                                ",113,Četverosoban (4),Visoko prizemlje,Namješten,Plin,Prodaja,Breka,15,2000-2009,Parket,True,True,True,True,True,True,,,True,True,True,24.06.2023,Jugoistok,True,,True,True,,True,,True,,"Na prodaju četverosoban stan na Breci, uknjiženih  113 m2, pozicioniran na visokom prizemlju manje četverospratne zgrade. Isti se sastoji od prostranog dnevnog boravka iz kojeg se izlazi na terasu ( površine 15 m2, koja nije uračunata u navedenih 113 m2), sa koje se pruža pogled na naselje Breka, otvorena trpezarija sa kuhinjom i ostava, tri spavaće sobe, kupatilo i toalet. Objekat je novije gradnje (2005 god.), grijanje je etažno plinsko, stolarija drvena, a novom vlasniku je na raspolaganju kamin u dnevnoj sobi i parking mjesto ispred zgrade.

Za sve ostale inf. i eventualni obilazak pozovite +387 61 556 221"
45,"
                                                    Stan centar Grbavica Kovacici - Nadogradnja (PRODAJA)
                                                ",70,Trosoban (3),4,Namješten,Centralno (Plin),Prodaja,Radnička 64,14,2000-2009,Laminat,True,True,True,True,,True,,,True,True,True,04.06.2023,,True,,True,True,True,,True,True,True,"Kovacici,  Radnicka 64 (kod bivseg HS-a tj. Telemacha, Kovacici)
Nadogradnja

dnevna, spavaca, djecija/ radna soba, hodnik, wc, tavan i 3 balkona
Balkon kruži oko čitavog stana i ne ulazi u kvadraturu stana, sto znaci dodatnih 14 kvadrata.

Grijanje plin koliko potrošite toliko placate.
4. Sprat nadogradnja na zgradu tako da nema lift ali je zato noviji u odnosu na samu zgradu. 

Imate slobodno uvijek parking mjesto ispred.

*tavan nije ukljucen u kvadraturu al ima veliki prostor gore iznad.

Ulica je jako sigurna jer su oko zgrade ambasade tako da ima čuvara i kućica. Minuta šetnje je udaljena trolejbuska stanica a isto tako je minuta autom na tranzit.

Nekretnina je 1/1 uknjizena i u vlasnistvu.

Samo prodaja, bez agencija ili slicno, licna prodaja je u pitanju!

Kontakt telefon: +38761551801"
46,"
                                                    Stan Sarajevo - Centar 57m2
                                                ",57,Dvosoban (2),1,Namješten,Plin,Prodaja,Midhata Karića Mitketa,,2000-2009,Parket,,,,,,,,,,,,30.06.2023,,,,,,,,,,,"Stan Vrtovi Sunca.OPISU prodaji je odličan i noviji stan u naselju Vrtovi Sunca, općina Centar. Stan se nalazi na prvom spratu zgrade bez lifta. Ukupna površina je 57,14 m2 i sastoji se od velikog dnevnog boravka, kuhinje, spavaće sobe, hodnika, toaleta i prostranog balkona.STANDARDZgrada je novije gradnje, iz 2009. godine. Od standarda možemo izdvojiti keramičke pločice u kuhinji, toaletu i na balkonu. Pod je parket, a stolarija drvena. Grijanje je na plin. Stan posjeduje sve komunalije, interfon, klimu, vanjske žaluzine. Zgrada posjeduje i video nadzor.Uredno i uknjiženo vlasništvo 1/1.LOKACIJAStan se nalazi u ulici Midhata Karića Mitketa. Lokacija je jako dobra obzirom da se u blizini nalazi trolejbusko stajalište Jezero, zoološki vrt Pionirska dolina, trgovine i svi ostali sadržaji potrebni za ugodan život. Posebna prednost ove lokacije je zelenilo, mir i tišina tako da većinom vremena možete čuti samo ptičice.CIJENACijena stana je 225.000 KM.Za sve informacije kontakt 061/818-937 (Mob/Viber).Amel Fejzić – Vaš agent za nekretnine.Broj licence: 01-01.1- 484/22.Posrednik je upisan u Registar posrednika Ministarstva trgovine FBiH pod registarskim brojem 67/2023  "
47,"
                                                    Stan i parking mjesto,Otoka, Miljacka, trosoban
                                                ",50,Trosoban (3),4,Namješten,Centralno (gradsko),Prodaja,,5,2020+,Parket,True,True,True,True,True,,True,,True,True,True,13.02.2023,,True,,,,,,,True,,"Stan u ulici Dzemala Bijedica broj 160, naselje Miljacka, lamela E u cjelosti opremljen, kuhinja i avi ormari su radjeni po mjeri i kao takav se prodaje u cijenu ulazi i parking mjesto koje se nalazi ispod zgrade u garazi, naselje Miljacka Otoka
Kontakt 061433 862
Cijena stana 215.000
Cijena garaze 25.000"
48,"
                                                    Stan Cengic Vila
                                                ",90,Četverosoban (4),2,Namješten,Centralno (Plin),Prodaja,Dr. Fetaha Bećirbegovića 35,6,,Parket,True,True,True,True,True,,,,True,True,True,13.07.2022,Jug,True,,True,,True,True,,True,True,"Prodajem namješten i adaptiran stan na adresi Dr. Fetaha Bećirbegovića br. 35 Općina Novo Sarajevo. Stan se nalazi na drugom spratu, ukupne površine 90 m2 i odmah je useljiv sa svim potrebnim za život višečlane porodice. U stanu se nalaze dnevni boravak, trpezarija, kuhinja, tri spavaće sobe, kupatilo sa WC-om i posebni WC. Stan posjeduje i balkon površine cca 6 m2. Stan posjeduje sve potrebne priključke (telefon, internet, kablovska, video nadzor i drugo). Cijena stana iznosi 2.000 €/m2. Zamjena ne dolazi u obzir. Sve informacije putem telefona 062 334 185"
49,"
                                                    Stan Sarajevo - Skenderija Centar 59m2-TOWER Nekretnine
                                                ",59,Trosoban (3),3,Namješten,Centralno (Plin),Prodaja,,,,Parket,,True,,,,True,,,,,,16.03.2023,Jug,,,True,,,,,,True,"PRODAJA STANA SKENDERIJA - TROSOBAN 59m2   

Prodaje se potpuno renoviran i opremljen trosoban stan površine 59 m2 na trećem spratu stambene zgrade u ulici Skenderija.   Stan se sastoji od dnevnog boravka sa kuhinjom, hodnika, spavaće sobe sa zasebnim garderoberom, dječije sobe, kupatila.   
LOKACIJA:   Stan se nalazi na trećem spratu od ukupno četiri sprata stambene zgrade koja se nalazi u ulici Skenderija, naselje Skenderija, Općina Centar, Sarajevo.   
Stambena zgrada se nalazi u strogom centru Sarajeva neposredno uz gradski prijevoz, trolejbus.   
Sama lokacija je jedna od najatraktivnijih i najtraženijih zbog blizine sadržaja koji omogućavaju veoma kvalitetne uslove življenja.   
U blizini se nalazi vrtić, zgrada Europske komisije, dio Gradske uprave Grada Sarajeva, Federalni parlament, tržni centri: BBI(Arija), SCC, te mnogi ugostiteljski objekti, banke, najpoznatija šetnica Ferhadija. U samoj blizini je i poznata šetnica Vilsonovo šetalište.   

Neophodno je istaći da je stan 2016. godine renoviran iz temelja.   U stanu su urađeni slijedeći radovi: 
- Estrich
 - Potpuno izmijenjene vodovodne cijevi 
- U kupatilu je napravljeno tursko kupatilo, gdje su ugrađene veoma kvalitetne pločice kao i sanitarija
 - Iznova su urađene elektro instalacije: novi kablovi, kutija za osigurače kao i sami automatski osigurači
- Unutrašnja stolarija je drvena 
- Vanjska stolarija je plastična PVC
- Ulazna vrata su blindo
- Na podu je parket 
- Urađeno je i etažno plinsko grijanje   

Primarna orijentacija stana je južna.   

Napomena: Stan se prodaje potpuno opremljen.   

Navedena tražena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja rezervacije, predugovora, ugovora o zakupu ili ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije. 

Za sve ostale informacije stojimo Vam na raspolaganju! 

Certificirana agencija za posredovanje u prometu nekretninama Tower Nekretnine 

Registarski broj posrednika 128/22! 

Ramiza Salčina 84, 
71000 Sarajevo 
Agent Edis Ramović 
+38760 355 5553 
nekretnine@tower.ba"
50,"
                                                    AREA/ Troiposoban stan/ Mejtaš - Centar 62m2
                                                ",62,Trosoban (3),Prizemlje,Namješten,Plin,Prodaja,,,,,,True,True,,True,True,,,True,True,True,27.06.2023,,True,,True,,,,,,,"Prodaje se troiposoban renoviran stan na Mejtašu, površine 62 m2 upisane u ZK, a u naravi ima cca. 70 m2. Sastoji se od: prostranog dnevnog boravka, kuhinje s trpezarijom, master spavaće sobe sa kupatilom, dvije manje spavaće, još jednog kupatila i ulaznog hodnika.Nalazi se na odličnoj lokaciji u centru grada, u prizemlju kuće sa baštom.Ispred stana se nalazi zajednička bašta koja je ograđena i pruža totalnu privatnost i mir. Grijanje u stanu je plinsko etažno, podno, sa alterntativnom opcijom na struju, a posjeduje i inverter klimu.Sve informacije možete dobiti na slijedeće brojeve telefona:+387 33 262 210+387 61 907 965+387 61 198 366 Posjetite našu web stranicu: https://www.area.baAREA Real Estate Šenoina br. 1071000 Sarajevo,Bosna i HercegovinaHome d.o.oReg.br.posrednika 33/2023Prodajete ili iznajmljujete Vašu nekretninu? Iza nas stoji hiljade realizovanih transakcija i još toliko zadovoljnih klijenata. Pozovite nas: 033 262 210 ili pišite na info@area.ba"
51,"
                                                    AREA/ Dvoiposoban stan/ Bistrik/ Stari Grad 69m2
                                                ",69,Trosoban (3),3,Namješten,Centralno (Plin),Prodaja,,,,Parket,,,True,,True,True,,,True,,True,27.06.2023,,True,,True,,,True,,,,"Prodaje se dvoiposoban stan u Starom Gradu u blizini Sarajevske Pivare, ukupne površine 69 m2. Sastoji se od prostranog dnevnog boravka, jedne veće i jedne manje spavaće sobe, kuhinje sa trpezarijom, ulaznog hodnika i kupatila. Stan je potpuno namješten i opremljen, grijanje je etažno plinsko. Nalazi se u neposrednoj blizini Sarajevske Pivare udaljen svega 5 min laganog hoda do Baščaršije. Sve informacije možete dobiti na slijedeće brojeve telefona:+387 33 262 210+387 61 907 965+387 61 198 366 Posjetite našu web stranicu: https://www.area.baAREA Real Estate Šenoina br. 1071000 Sarajevo,Bosna i HercegovinaHome d.o.oReg.br.posrednika 33/2023Prodajete ili iznajmljujete Vašu nekretninu? Iza nas stoji hiljade realizovanih transakcija i još toliko zadovoljnih klijenata. Pozovite nas: 033 262 210 ili pišite na info@area.ba"
52,"
                                                    AURA/ Dvosoban stan u novogradnji / Dobrinja 5 / Lift
                                                ",42,Dvosoban (2),1,Namješten,Centralno (gradsko),Prodaja,,3,2010+,Parket,True,True,True,True,,True,True,,True,,True,01.07.2023,,True,,,,True,,,True,,"PRODAJE SE dvosoban stan na najljepšoj lokaciji na Dobrinji 5, Ulica Branislava Nušića, Opština Novi Grad u Sarajevu.STRUKTURA: Stan je pozicioniran na prvom spratu u zgradi koja ima lift. Stan je uknjižen i prema ZK izvadku ima površinu od 41,47m2. Po strukturi je dvosoban stan. Veoma je funkcionalan i posjeduje veći dnevni boravak sa terpezarijskim prostorom, kuhinju, hodnik, spavaću sobu, kupatilo i balkon. Stan je svijetao i osunčan veći dio dana. Pogled iz stana je otvoren*.Zgrada je novije gradnje i jedna od najljepših i najkvalitetnijih u ovom dijelu naselja. Ispred zgrade ima javni parking.STANDARD: Na podu je kvalitetan parket. Vanjska stolarija je visokokvalitetna trokomorna. Blindirana vrata. Stan posjeduje interfon. Grijanje je centralno gradsko. Također, zgrada je jako kvalitetna i uredna sa prostranim hodnicima. Stan se prodaje sa namještajem. Ispred stana na spratu se nalazi zatvoreni predulazni prostor, koji može poslužiti za parkiranje bicikla. OKOLINA: Sigurno naljepši i najatraktivniji dio naselja Dobrinja koji odiše mirom i prirodom. Zgrada se nalazi uz veliki gradski bazen i mnogobrojna šetališta, kao i park prijateljstva. Također,  u blizini zgrade se nalaze škole, obdeništa, glavne ambulante, Trgovački centri, trolejbuske i autobuski stanice, prodavnice, restorani, kafići, apoteke, pekare i dr. Mjesto je savršeno za savremenu porodicu koja prati i cijeni savremene trendove života.CIJENA POVOLJNA: 3600KM/m2 sa namještajem.VLASNIŠTVO uredno 1/1.AGENCIJA AURA OSIGURAVA KUPCE u procesu kupoprodaje - Wiener Osiguranje…  *** NA LINKU ispod možete vidjeti druge atraktivne nekretnine koje imamo u ponudi: https://auranekretnine.ba/nekretnine-ponuda/ AURA NEKRETNINE Centar, SarajevoAntuna Hangija 69Reg. br: 16-17-97/23 ☎ +38761560888🔗 https://auranekretnine.ba/📨 info@auranekretnine.ba"
53,"
                                                    Dvosoban stan na drugom spratu, Grbavica II
                                                ",52,Dvosoban (2),2,Namješten,Centralno (Plin),Prodaja,,4,1960-1969,Parket,True,,True,True,True,,,,True,True,True,20.06.2023,Jugoistok,True,False,True,True,,True,,True,,"Prodajemo dvosoban stan površine 52m2, a koji se nalazi na drugom spratu stambene zgrade izgrađene u neposrednoj blizini Shopping centra Grbavica, ulica Behdžeta Mutevelića. Jedna od najatraktivnijih lokacija, zajedno sa vrlo traženom kvadraturom i spratnošću predstavlja osnovne karakteristike ove nekretnine. Sastoji se od komfornog dnevnog boravka, kuhinje sa trpezarijom i lođom, jedne komforne spavaće sobe, ostave, te kupatila i predsoblja. Veliki prozorski otvori i dvostrana orjentacija ga čine vrlo svijetlim i prozračnim tokom većeg dijela dana. Haustor zgrade je veoma uredan i redovno se održava. Komotan prilaz i parking prostor namijenjen stanarima dodatna su pogodnost.Stan se nalazi na drugom spratu stambene zgrade izgrađene u ulici Behdžeta Mutevelića, u naselju Grbavica. Lokacija je vrlo atraktivna i pogodna za porodični način života. Blizina obrazovnih ustanova, javnog gradskog saobraćaja, Vilsonovog šetališta, te općenito centra grada čini ovo naselje jednim od najpoželjnijih dijelova grada.Plinsko etažno grijanje. Parket u dnevnoj i spavaćoj sobi. Keramičke pločice u kuhinji,kupatilu, ostavi i lođi. Unutrašnja drvena stolarija. Vanjska drvena stolarija.https://capitolnekretnine.ba/nekretnina/7033/dvosoban-stan-na-drugom-spratu-grbavica-ii/Kontakt telefon : +38762099777                           +38762099888"
54,"
                                                    Lijepo uređen trosoban stan,na odličnoj lokaciji, Otoka
                                                ",68,Trosoban (3),4,Namješten,Centralno (gradsko),Prodaja,Bulevar Meše Selimovića,3,2015+,Parket,True,True,True,True,True,True,True,,True,True,True,10.05.2023,Sjever,True,,,,,,,True,True,"Prodajemo lijep i lijepo opremljen trosoban stan, površine 68,28m2. Stan se nalazi na četvrtom spratu novoizgrađene stambeno-poslovne zgrade, na vrlo atraktivnoj lokaciji, odnosno uz samo šetalište i biciklističku stazu u naselju Otoka. Ima vrlo lijep i praktičan raspored prostorija, a sastoji se od dnevnog boravka sa kuhinjom i trpezarijom, dvije spavaće sobe od kojih jedna posjeduje zasebno kupatilo, lođe kojoj se može pristupiti iz dnevnog boravka i jedne sobe, te predsoblja i drugog kupatila. Stan posjeduje velike portale u svakoj sobi, zbog čega je dobro osvijetljen prirodnom svjetlošću tokom većeg dijela dana. Pogled iz stana je otvoren i iz svake sobe se pruža lijep pogled na obližnja naselja. Visočiji stropovi – min. 2,80m te nestandardna visina unutrašnje stolarije (cca. 2,60m) ovom stanu daju poseban efekat. Pored činjenice da se radi o moderno uređenom stanu, posebna karakteristika ove nekretnine je odlična lokacija. Bitno je napomenuti da su instalirani moderni ugradbeni uređaji u kuhinji. Naselje Otoka je geografski centar grada, a sam stan je u središtu svih sadržaja potrebnih za kvalitetan svakodnevni način života.Standard:Centralno gradsko grijanje sa ugrađenim kalorimetrima. Vanjska PVC stolarija. Unutrašnja drvena stolarija. Parket u sobama i predsoblju. Keramičke pločice u kuhinji, kupatilu, degažmanu i lođi. Blinda ulazna vrata. Interfon. Lift. Video nadzor u haustoru zgrade.Lokacija:Nekretnina se nalazi na četvrtom spratu reprezentativne stambeno-poslovne zgrade izgrađene tokom 2019 godine u ulici Bulevar Meše Selimovića, u neposrednoj blizini Capital Tower-a. Lokacija je odlična za sve populacije, ali idealna za porodični način života, što zbog generalno bogatog sadržaja koji nudi, tako i zbog blizine obdaništa, osnovne škole, parka za djecu i šetališta koji se nalaze u neposrednoj blizini. Javni gradski saobraćaj, tržni centar, zelena pijaca, nekoliko apoteka i dom zdravlja smješteni su u krugu od 200m od zgrade. Link na oglas: https://www.metropolanekretnine.ba/oglas/lijepo-uredjen-trosoban-stan-na-odlicnoj-lokaciji-otoka/Više informacija možete dobiti ukoliko pozovete našeg Agenta METROPOLA NEKRETNINE d.o.o. Sarajevo Agent: Sanjin Smječaninprodaja@metropolanekretnine.bamob.: +387 61 481 815tel/fax: +387 33 956 333www.metropolanekretnine.baFACEBOOK FAN PAGE"
55,"
                                                    Dvosoban stan Alipašino Polje prodaja C faza
                                                ",59,Dvosoban (2),13,Namješten,Centralno (gradsko),Prodaja,"Novi Grad, Sarajevo, Bosanska",,,Parket,True,True,True,True,True,,True,,True,True,True,01.07.2023,,True,,,True,,,,True,,"Stanpromet.ba - agencija za nekretnine iz svoje ponude za prodaju izdvaja dvosoban stan odličnog rasporeda površine 59m2 pozicioniran na 13. spratu zgrade sa 2 lifta, ulica Bosanska, Alipašino polje C faza, Opština Novi Grad.Stan čine ulazni hodnik, dnevni boravak, trpezarija s izlazom na balkon, kuhinja, spavaća soba i kupatilo. Stan ima potencijal za dodatnu spavaću sobu u prostoru trpezarije bez velikih radova.Nekretnina je adaptirana, te uz kozmetike radove potpuno useljiva.Grijanje je centralno gradsko.Lokaciju krasi bogat gradski sadržaj, a izdvajamo veliku pijacu, Osnovnu školu Meša Selimović, vrtić Dječji grad, veliki broj parkova, Mercator, DM... Tu su i banke, zgrada Općine, te centar za sport i rekreaciju Safet Zajko na par minuta šetnje.Certificirana agencija za nekretnine Stanpromet.ba NekretnineRegistarski broj posrednika 001/2022!Grbavička 8b, 71000 SarajevoAgent Emin Canović+38762943330agencija@stanpromet.ba"
56,"
                                                    Trosoban renoviran stan Centar Sarajevo 62 m2
                                                ",62,Trosoban (3),Prizemlje,Namješten,Centralno (Plin),Prodaja,Kovačeva,,,Parket,True,True,True,True,True,True,,,True,True,True,26.06.2023,,True,False,True,,,,,True,,"Professionals agencija za nekretnine prodaje vrlo moderan trosoban- kompletno renoviran stan u ul. Kovačeva, opšina Centar, Sarajevo. Predmetni stan je pozicioniran na prizemlju stambene jedinice. Sastoji se od: ulaznog hodnika, dnevnog boravka, kuhinjsko - trpezarijskog prostora, tri spavaće sobe, dva kupatila, ukupne površine 62 m2 dok je stvarna površina stana 71 m2.Grijanje je centralno (plin).Stan posjeduje izuzetno funkcionalnu dispoziciju prostorija, dvostranu orijentaciju, optimalnu osvijetljenost, zavidan komoditet i sl.Stan posjeduje nov tarket, podno grijanje, kvalitetnu vanjsko-unutrašnju stolariju, klima uređaj (inverter), te neophodne električne uređaje.Ispred stana se nalazi bašta koja je na raspolaganju budućim vlasnicima.Lokacija na kojoj se nalazi ova nekretnina je jedna od najatraktivnijih u gradu Sarajevu zbog blizine velikog broja administrativnih, komercijalnih centara i institucija, predškolskih, školskih i visokoškolskih ustanova, kao i drugih sadržaja potrebnih za svakodnevni život. Javni gradski saobraćaj je udaljen svega par minuta hoda od predmetnog stana.** Dokumentacija uredna, vlasništvo 1/1, bez tereta.Cijena: 295.000 KM Za sve ostale informacije kao i zakazivanje tremina za razgledavanje predmetnog stana, budite ljubazni da pozovete naše agente na sljedeće brojeve telefona:+387 (61) 733 004+387 (62) 396 944+387 (62) 245 363 info@profnekretnine.bawww.profnekretnine.bahttps://www.facebook.com/ProfessionalsRealEstate﻿*Professionals agencija za nekretnine je upisana u registar posrednika kod Federalnog ministarstva trgovine pod registarskim brojem 9/2022. *Naši uposlenici su certificirani i stručno osposobljeni."
57,"
                                                    Stan - Garsonjera - Stup - Tibra 2 - 34 m2
                                                ",34,Garsonjera,1,Namješten,Centralno (Kotlovnica),Prodaja,Stupska,,2010+,Parket,,True,True,True,,,True,True,True,,True,15.06.2023,Jugozapad,True,,,,,,,,,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448, 061 398 581E-mail: berin@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/namjesten-stan-garsonjera-stup-tibra-2-34-m2/CITY Nekretnine prodaje namješten stan - garsonjeru u općini Ilidža, naselje Stup - Tibra 2, ul. Stupska, ukupne površine 34 m2.Stan se nalazi na prvom spratu stambene zgrade sa dva lifta u ulici Stupska, naselje Stup - Tibra 2, općina Ilidža. U neposrednoj blizini zgrade nalazi se pekara, supermarket, caffe bar, apoteka, benzinska stanica Gazprom, novoizgrađeno naselje Bulevar, tramvajska stanica, kao i drugi sadržaji koji su karakteristični za ovo naselje.Kvadratura stana iznosi 33,95 m2, po strukuri je garsonjera, jugozapadne orjentacije.Stan posjeduje:- Dnevni boravak - sobu- Trpezariju- Kuhinju- Kupatilo- Hodnik- Centralno grijanje - kotlovnica sa vlastitim kalorimetrom- Vanjsku PVC stolariju i unutrašnju drvenu stolariju- Blindirana vrata, interfon, lift- Priključke telefona, kablovske televizije i interneta- Parking ispred zgrade - javniCIJENA: 115.000 KM"
58,"
                                                    Trosoban stan sa garažom - Centar - Kromolj - 60 m2
                                                ",60,Trosoban (3),1,Namješten,Centralno (Plin),Prodaja,Armije RBiH,,2020+,Parket,True,True,True,True,True,True,True,True,True,,True,14.06.2023,Istok,True,False,True,,,,,True,True,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448, 062 854 547E-mail: dino@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/trosoban-stan-sa-garazom-centar-kromolj-60-m2/CITY Nekretnine ekskluzivno prodaje trosoban namješten adaptiran stan sa garažnim mjestom u novogradnji “Palladium”, općina Centar, naselje Kromolj, ukupne površine 60,29 m2.Stan se nalazi na prvom spratu stambene zgrade - novogradnje “Palladium” sa liftom u ulici Armije RBiH, naselje Kromolj, općina Centar. U neposrednoj blizini zgrade nalazi se dječije igralište, autobuska stanica, supermarket, caffe - bar, veterinarska ambulanta, ordinacija International Health, park Betanija, kao i drugi sadržaji koji su karakteristični za ovu lokaciju.Kvadratura stana iznosi 60,29 m2, po strukuri je trosoban, istočne orjentacije.Stan posjeduje:- Dnevni boravak sa izlazom na balkon- Balkon- Kuhinju i trpezariju- Spavaću sobu sa garderoberom (walk-in closet)- Drugu manju spavaću, odnosno dječiju sobu- Kupatilo- Hodnik- Centralno grijanje - plin - etažno- Klima uređaj- Vanjsku PVC stolariju Saplast sa vanjskim roletnama i komarnicima i unutrašnju drvenu stolariju- Blindirana vrata, interfon, lift- Priključke telefona, kablovske televizije i interneta- Garažno mjesto na etaži -1 površine 12,10 m2 (Uključeno u cijenu)- Parking - javniCIJENA: 313.000 KM"
59,"
                                                    Dvosoban stan - Ilidža - Pejton - 52 m2
                                                ",52,Dvosoban (2),5,Namješten,Centralno (Plin),Prodaja,Bosanskih gazija,,2010+,Parket,True,True,True,True,,True,True,,True,,True,20.06.2023,Sjeverozapad,True,,True,,,,,True,,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448, 061 398 581E-mail: berin@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/dvosoban-stan-ilidza-pejton-52-m2/CITY Nekretnine prodaje dvosoban namješten stan u općini Ilidža, naselje Pejton, ukupne površine 52 m2.Stan se nalazi na petom (posljednjem) spratu stambene zgrade novije gradnje sa liftom u ulici Bosanskih gazija, naselje Pejton, općina Ilidža. U neposrednoj blizini zgrade nalazi se supermarket Best, apoteka, ambulanta porodične medicine, apoteka, Centralna džamija Ilidža, osnovna škola, vrtić, a svega par minuta laganog hoda je udaljen od najužeg centra Ilidže.Kvadratura stana iznosi 52 m2, po strukuri je dvosoban, sjeverozapadne orjentacije.Stan posjeduje:- Dnevni boravak i trpezariju- Kuhinju sa izlazom na manji balkon- Balkon- Spavaću sobu- Kupatilo- Hodnik- Centralno grijanje - etažno - plin- Klima uređaj- Vanjsku i unutrašnju drvenu stolariju- Blindirana vrata, interfon, lift- Priključke telefona, kablovske televizije i interneta- Parking ispred zgrade - javniCIJENA: 172.000 KM"
