Unnamed: 0,title,cijena,kvadratura,broj_soba,sprat,namjesten,stanje,vrsta_grijanja,vrsta_oglasa,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,balkon,blindirana_vrata,internet,kablovska_tv,kanalizacija,klima,lift,novogradnja,struja,voda,tel_prikljucak,datum_objave,primarna_orijentacija,uknjizeno_zk,kucni_ljubimci,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,balkon.1,nedavno_adaptiran,details
10,"
                                                    Dvosoban stan Ilidža (Sarajevo waves)
                                                ",Na upit,67.0,Dvosoban (2),2,Namješten,Novogradnja,Centralno (gradsko),Prodaja,Barska 59-II,,2020+,,True,True,True,True,,True,True,,True,True,True,15.06.2023,,True,,,,True,,True,True,,"Na prodaju luksuzno opremljen dvosoban stan površine 67m2 u Sarajevo Waves2 zgradi. Stan se nalazi na drugom spratu. Zgrada je izgrađena po hotelskom principu tako da je sve uređeno od same okolice, parka sa fontanom za šetnju, drugog parka za djecu, garaže,ulaza, liftova, pa do samog stana. Na krovu zgrade se nalazi terasa na dva sprata na kojoj je zelena površina koju stanari mogu da koriste kao zajednički prostor. Ispod zgrade i preko puta se nalaze poslovni prostori kao sto su kafići, pekara, buregdzinica, Amko komerc, igraonica/vrtic za djecu i restoran ""Waves"" u Centru Sarajevo Waves te se uskoro otvara  i teretana sa bazenom i drugim sadržajima. Apoteka se nalazi odmah preko puta zgrade, u blizini je i Ambulanta Otes, mjesna zajednica kao i mnogi drugi supermarketi. Petrolova pumpa je udaljena autom minut od same zgrade. Džamija Otes je udaljena 2 minuta hoda. Policijska stanica ""Otes"" se nalazi u samom kompleksu zgrade. Kompleks kompletan obazbjeduje ""Unilab"" osiguranje, uz nadzorne kamere na svakom spratu, garažama te okolo cijelog kompleksa. Stan posjeduje prostran balkon cijelom dužinom stana. Dvosoban (spavaća soba, boravak i kuhinja, te kupatilo) i top je opremljen te se prodaje sa namještajem. Sve je rađeno po mjeri tako da je i vrlo funkcionalan. Za dodatne informacije zvati na broj : +387603086026 "
11,"
                                                    Prodajemo stan Baščaršija
                                                ",259.000 KM,66.0,Trosoban (3),4,Namješten,Renoviran,Centralno (Plin),Prodaja,,20.0,1970-1979,Parket,True,True,True,,True,True,,,True,True,True,09.06.2023,,True,,True,True,,,True,True,True,"Prodajemo renoviran i poluopremljen CETVEROSOBAN stan u Starom Gradu. Stan posjeduje plinsko grijanje, klima uredaj, 4 sobe + kuhinja + wc + ogromnu terasu 

1. Garderober: novi ormari radeni po mjeri i maksimalno iskoristen prostor.

2. Spavaca: prostrana prostorija sa novim krevetom.

3. Dnevni boravak: izlaz na prelijepu terasu od 20m2, klima uredaj, internet prikljucak, kablovska televizija, najnoviji moderni damski lezaj, prelijep pogled na grad i Trebevic.

4. Terpezarija: prelijep kameni zid sa prozorima koji direktno gledaju na veliku terasu.

Kuhinja: posjeduje frizider, strujno koli, masinu za sude, rernu, i napu.
Lokacija;

https://maps.apple.com/maps?q=43.863437,18.430935"
12,"
                                                    Trosoban stan Alipašino Polje Novi Grad Sarajevo
                                                ",240.000 KM,69.0,Trosoban (3),16,Namješten,Renoviran,Centralno (gradsko),Prodaja,,,,Parket,True,True,,,True,True,True,,True,True,True,19.06.2023,Istok,True,False,,,,True,,True,True,"Professionals Real Estate prodaje trosoban kompletno namješten i renoviran stan na Alipašinom Polju, A faza, ulica Ive Andrića, općina Novi Grad. 
Stan je pozicioniran na šesnestom (16) nebodera sa dva llifta. Stan nije na posljednjoj etaži. Sastoji se od ulaznog hodnika, dnevnog boravka, dvije spavaće sobe, kuhinjsko trpezarijskog prostora, kupatila, wc-a, ostave i balkona, ukupne uknjižene površine 69 m2. 
Grijanje je centralno, gradsko. 
Stan je kompletno renoviran prije godinu dana. Posjeduje odličnu dispoziciju prostorija, dvostranu orijentaciju (istok - zapad) sa otvorenim pogledom, vanjsku PVC stolariju sa alu roletnama, unutarnju drvenu stolariju, parkete na podovima, blindo vrata, klima uređaj, kompletan namještaj i elektro uređaje, itd...
Predmetna nekretnina je smještena na veoma atraktivnoj lokaciji u blizini mnogih sadržaja koji su neophodni za ugodan boravak: Osnovna škola, vrtići, banke, apoteke, brojni ugostiteljski objekti, trgovine, marketi, stanice javnog saobraćaja, itd...
Cijena: 240.000,00 KM. 
Za sve ostale informacije kao i zakazivanje termina za razgledavanje predmetne nekretnine, pozovite sljedeće brojeve telefona:
+387 (62) 396 944
+387 (62) 245 363
+387 (61) 733 004http://www.profnekretnine.ba
e-mail: info@profnekretnine.ba
 https://www.facebook.com/ProfessionalsRealEstate
*Professionals agencija za nekretnine je upisana u registar posrednika kod Federalnog ministarstva trgovine pod registarskim brojem 9/2022.
*Naši uposlenici su certificirani i stručno osposobljeni."
13,"
                                                    Dvosoban stan Čengić Vila Otoka Novi Grad - Sarajevo
                                                ",155.000 KM,55.0,Dvosoban (2),5,Namješten,,Centralno (gradsko),Prodaja,,,,,,True,,,True,True,,,True,True,,18.05.2023,,True,,,,,True,,,,"Professionals Real Estate prodaje dvosoban stan u blizini Otoka shopping centra u Gradačačkoj ulici, općina Novi Grad. 


Stan je pozicioniran na petom (posljednjem) spratu stambene jedinice bez lifta. Sastoji se od ulaznog hodnika, dnevnog boravka, spavaće sobe, kuhinjsko - trpezarijskog prostora, kupatila i ostave, ukupne uknjižene površine 55 m2. 


Grijanje je centralno, gradsko. 


Stan je kompletno renoviran 2013. godine. Prodaje se kompletno namješten u stanju prikazanom na fotografijama. Posjeduje veoma funkcionalnu dispoziciju prostorija, dovstranu orijentacija (istok zapad), laminate na podovima (postavljeni preko parketa), vanjsku i unutarnju drvenu stolariju, klima uređaj, sve potrebne elektro uređaje, itd...


Ispred stambene jedinice se nalazi javni parking.


Lokacija na kojoj se nalazi predmetna nekretnina je izuzetno atraktivna, a takvom je čini blizina brojnih sadržaja koji su potrebni za ugodan boravak. U krugu od 500 m se nalaze Osnovna kola i vrtić, pijaca Otoka, Konzum, brojni ugostiteljski objekti, trgovine, banke, apoteke, i sl. 


Dokumentacija uredna, vlasništvo 1/1, bez tereta. 


Cijena: 155.000 KM


Za sve ostale informacije kao i zakazivanje termina za razgledavanje predmetnog stana, pozovite sljedeće brojeve telefona:



+387 (62) 396 944

+387 (62) 245 363

+387 (61) 263 985


http://www.profnekretnine.ba


info@profnekretnine.ba


*Professionals agencija za nekretnine je upisana u registar posrednika kod Federalnog ministarstva trgovine pod registarskim brojem 9/2022. 

*Naši uposlenici su certificirani i stručno osposobljeni."
14,"
                                                    GRBAVICA 63m2 TEK ADAPTIRAN POTPUNO NAMJEŠTEN-SVE NOVO-
                                                ",278.000 KM,63.0,Dvosoban (2),15,Namješten,Renoviran,Centralno (gradsko),Prodaja,,,1970-1979,,True,True,True,True,True,True,True,,True,True,True,20.05.2023,,True,,,True,True,,True,True,True,"GRBAVICA ADAPTIRAN DVOIPOSOBAN KOMPLETNO NAMJEŠTEN STAN 63 M2STAN JE U POTPUNOSTI ADAPTIRAN PRIJE 3 MJESECA.KOMPLETAN NAMJEŠTAJ I TEHNIKA SU TAKOĐŽE KUPLJENI PRIJE 3 MJESECA.
Prodaje se tek adaptiran, kompletno namješten, funkcionalan dvoiposoban stan površine 63 m2 (uknjižena površina 58m- stvarna 63m2) balkon je pripojen stanu, naselje Grbavica (Shopping) opština Novo Sarajevo.Stan je rađen po projektu arhitekte tako da je postignuta maksimalna funkcionalnost u kombinaciji sa estetskim izgledom. Stan je temeljno adaptiran prije 3 mjeseca (sve dokumentovano fotografijama). Prilikom adaptacije korišteni su vrhunski materijali Baumit kao i drugih brendiranih proizvođača.
Odmah useljiv, bez potrebe za ikakvim ulaganjima.Svi uređaji, oprema, namještaj i sve što je ugrađeno je potpuno novo, kupljeno i napravljeno po mjeri za ovaj stan. Stan posjeduje profesionalnu protuprovalnu zastitu alarm sa senzorima dedetektorima za pokret i senzorom za vatrodojavu.
Kompletne instalacije vode, struje i grijanja su potpuno nanovo razvedene, novi Aklimat radijatori namjenjeni za nebodere sa termoglavamaTalijanska keramika, tursko kupatilo, Ariston bojljer. Vanjska petokomorna REHAU stolarija sa ugrađenim komarnicima i aluminijskim roletnama. Nova unutrašnja stolarija, inventer LG klima, dvije Smart TV, svi aparati novi i u garanciji kao i sam stan od izvođača radova. Stan ima tri američka plakara i veliki cipelar što pruža dosta prostora za odlaganje. Kompletna rasvjeta u stanu je led,Nova Blindo vrata .Grijanje u stanu je centralno-toplane.
Stan je jugoistočno orijentisan, te je izuzetno svijetao, prozračan tokom cijelog dana sa lijepim otvorenim pogledom prema centu grada i Trebeviću.
Boravak u stanu je izuzetno miran i prijatan, tome doprinosi izolovanost od saobraćajnice i spratnost.
Sastoji se od dnevnog boravka, kuhinje sa trpezarijom,dvije, spavaće sobe, kupatila i hodnika.
Nalazi se na 15 spratu kvalitetno održavane stanbene zgrade koja ima 2 lifta, od kojih je jedan teretni, na spratovima postoje predulazi koji se zaključavaju, takođe zgrada posjeduje video nadzor što omogućava maksimalnu sigurnost vlasnika stambenih jedinica.
LOKACIJA: Stan se nalazi na jednoj od najtraženijih i najatraktivnijih lokacija u gradu.U krugu  200 metara nalaze se svi potrebni sadržaji za ugodan i kvalitetan zivot: gradski saobracaj, šetalište, shopping centar „Grbavica“, restorani, banka, Konzum, Bingo, parkovi, pijaca, parking prostori, osnovna škola „Grbavica II“,Osnovna muzička i baletna škola, Međunarodni centar za djecu i omladinu, dječiji vrtić „Djeca Sarajeva“, sportska igrališta, ambulanta, Vilsonovo šetalište. 
STAN SE PRODAJE ISKLJUČIVO SA KOMPLETNIM NAMJEŠTAJEM I TEHNIKOM.
Vlasništvo uredno 1/1.
Za sve ostale informacije javite se na;
Kontakt,
mob/ viber/WhatsApp  
062/666-766. VLASNIK.
MOLIM AGENCIJE DA ME NE KONTAKTIRAJU !!!"
15,"
                                                    Stan Ilidža Luzani 50m2
                                                ",Na upit,50.0,Dvosoban (2),5,Namješten,,Centralno (gradsko),Prodaja,Ilidza Luzanski put 4,,2020+,,True,True,True,True,True,True,True,True,True,True,True,09.06.2023,Istok,True,,,,True,,,True,,"⭐️⭐️⭐️⭐️⭐️dvosoban stan, 50m2,Ilidža, park, cijena po dogovoruZa više informacija: Mob: 061-488-073"
16,"
                                                    Ilidza Luzani Trosoban stan 61m2
                                                ",Na upit,61.0,Dvosoban (2),6,Namješten,,Centralno (gradsko),Prodaja,Ilidza Luzanski put 4,,2020+,,True,True,True,True,True,True,True,True,True,True,True,13.05.2023,Jug,True,,,,True,,,True,,"⭐️⭐️⭐️⭐️⭐️Dvosoban stan, 61m2,jedinstvena prilikaIlidža, park, cijena po dogovoruZa više informacija:Mob: 061-488-073"
17,"
                                                    Ilidza Luzani Trosoban stan 60m2
                                                ",Na upit,60.0,Trosoban (3),6,Namješten,,Centralno (gradsko),Prodaja,Luzanski put 4,,2020+,,True,True,True,True,True,True,True,True,True,True,True,23.11.2022,Jug,True,,,,True,,,True,,"⭐️⭐️⭐️⭐️⭐️Trosoban stan, 60m2,jedinstvena prilikaIlidža, park, cijena po dogovoruZa više informacija:Mob: 061-488-073"
18,"
                                                    Ilidza Luzani Dvosoban stan 47m2
                                                ",Na upit,47.0,Dvosoban (2),6,Namješten,,Centralno (gradsko),Prodaja,Luzanski put 4,,2020+,,True,True,True,True,True,True,True,True,True,True,True,23.11.2022,Jug,True,,,,True,,,True,,"⭐️⭐️⭐️⭐️⭐️dvosoban stan, 47m2, Ilidža, park, cijena po dogovoruZa više informacija: Mob: 061-488-073"
19,"
                                                    Ilidza Luzani Trosoban stan 90m2
                                                ",Na upit,90.0,Trosoban (3),3,Namješten,,Centralno (gradsko),Prodaja,,,,,True,True,,True,True,True,,True,True,True,True,26.04.2021,,True,,,,True,,,True,,"⭐️⭐️⭐️⭐️⭐️ Trosoban stan, 90m2, Ilidža, park, cijena po dogovoru Za više informacija: Mob: 061-488-073
 
 "
20,"
                                                    Ilidza Luzani Trosoban stan 77m2
                                                ",Na upit,77.0,Trosoban (3),4,Namješten,,Centralno (gradsko),Prodaja,Luzanski put 4,,,,,True,True,True,True,True,True,True,True,True,True,23.12.2022,,True,,,,True,,,,,"⭐️⭐️⭐️⭐️⭐️Trosoban stan, 61m2,jedinstvena prilikaIlidža, park, cijena po dogovoruZa više informacija: Mob: 061-488-073"
