,title,kvadratura,broj_soba,sprat,namjesten,vrsta_grijanja,vrsta_oglasa,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,balkon,blindirana_vrata,internet,kablovska_tv,kanalizacija,klima,lift,novogradnja,struja,voda,tel_prikljucak,datum_objave,primarna_orijentacija,uknjizeno_zk,kucni_ljubimci,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,balkon,nedavno_adaptiran,details
98,"
                                                    Trosoban stan - Ilidža - Stup - 79 m2
                                                ",,,,,,,Hifzi Bjelevca,,2000-2009,Parket,True,True,True,True,,True,True,,,,True,06.03.2023,Zapad,True,,True,,,,,True,,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448, 061 398 581E-mail: berin@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/trosoban-stan-ilidza-stup-79-m2/CITY Nekretnine prodaje trosoban stan u općini Ilidža, naselje Stup, ukupne površine 79,15 m2.
 
Stan se nalazi na sedmom spratu stambene zgrade sa dva lifta u ulici Hifzi Bjelevca, naselje Stup, općina Ilidža. U neposrednoj blizini zgrade nalazi se supermarket, apoteka, pekara, džamija, hotel, Stupska petlja, autobuska i tramvajska stanica, kao i drugi sadržaji koji su karakteristični za ovu lokaciju.
 
Kvadratura stana iznosi 79,15 m2, po strukturi je trosoban, primarne zapadne orjentacije.
 
Stan posjeduje:
- Dnevni boravak i trpezariju
- Balkon
- Kuhinju
- Dvije spavaće sobe
- Kupatilo i dodatni toalet
- Hodnik
- Pripadujuću podrumsku prostoriju
- Centralno grijanje - etažno - plin
- Klima uređaj
- Blindirana vrata, Interfon, lift
- Vanjsku i unutrašnju drvenu stolariju
- Priključke telefona, kablovske televizije i interneta
- Parking ispred zgrade - javni
 
CIJENA: 280.000 KM
 
"
99,"
                                                    Stan Sarajevo - Stari Grad 58m2
                                                ",,,,,,,Adžemovića,,,Parket,,,True,True,,,,,,,,17.06.2023,Jug,,,,,,,,,True,"NA PRODAJUStan 58 m2, ulica Adžemovića ,Stari Grad, nadomak Baščaršije, blizu osnovne škole Logavina. Stan se nalazi na visokom prizemlju. U potpunosti je renoviran. Sastoji se dnevne sobe, kupatila kuhinje, dvije spavaće sobe.Ispred zgrade je parking mjesto.cijena 200.000 KM061/072-845https://sarajcity.com/nekretnina/stan-58m2-stari-grad/"
100,"
                                                    LOCUS prodaje: Četverosoban penthouse, Rosulje, Vogošća
                                                ",,,,,,,24. juni,,2020+,Parket,,True,True,True,True,True,True,True,True,True,True,26.05.2023,,,,True,,,True,,,,"LOCUS šifra: 0023N-2023SAgent: Elvedina Ganibegović, 061/163-238E-mail: elvedina@locus.baŽelite saznati više o ovoj nekretnini? Za više fotografija i dodatne informacije posjetite: https://www.locus.ba/search/listing/5982Opis nekretnine:LOCUS Nekretnine Vam sa zadovoljstvom objavljuje prodaju izuzetno komfornih četverosobnih penthouse površine 119-141m2 sa lođom pozicioniranih na osmom spratu u novom stambeno poslovnom objektu na izuzetno atraktivnoj mikrolokaciji u centralnom dijelu naselja Vogošća.Penthouse A je površine 119,35m2 se sastoji od dnevnog boravka sa kuhinjom i trpezarijom, tri master sobe, tri kupatila, toaleta, hodnika, degažmana, vešeraja i lođe površine 12,36m2.Penthouse B je površine 132,93m2 se sastoji od dnevnog boravka sa kuhinjom i trpezarijom, tri master sobe, tri kupatila, toaleta, hodnika, degažmana, vešeraja i lođe površine 24,91m2.Penthouse C je površine 141,56m2 se sastoji od dnevnog boravka sa trpezarijom, tri master sobe, kuhinje, tri kupatila, toaleta, hodnika, degažmana, vešeraja i dvije lođe.Stambeno poslovni objekat je smješten samo nekoliko minuta lagane šetnje od samog centra Vogošće i apsolutno svih sadržaja potrebnih za udoban život. U prizemlju je između ostalog planirano otvaranje većeg supermakteta, ugostiteljskih objekata i mnoštvo drugih sadžaja.Stambena zgrada je okružena većim uređenim zelenim površinama, dječijim igralištima, prostranim parking mjestima, itd.Ovaj tip četverosobnih stanova je projektovan u skladu sa savremenim standardima i dovoljno velikim prostorijama idelanim za boravak višečlanih porodica.Odlična dnevna insolacija omogućiti će boravak u stanovima ugodim i prijatnim tokom cijelog dana.Bitno je napomenuti da je investitor osim kvaliteti gradnje posebnu pažnju posvetio i funkcionalnosti svih stambenih jedinica.Kao posebnu pogodnost izdvajamo „SMART” kojim će biti opremljen svaka stambena jedinica tako da će budući vlasnici imati mogućnost upravljanja sistemom grijanja i hlađenja putem mobilne aplikacije.Izgradnja objekta je već počela a planirani završetak radova je mjesec februar 2024. godine!Ugradnja vrhunskih građevinskih materijala od čega možemo izdvojiti osmokomorna vanjska stolarija sa termopan staklom, prvoklasni parket, talijanska keramika visoke kvalitete, protuprovalna i protiv požarna vrata te klima uređaj čine ove stanove jedinstvenim u okruženju.Cijena stanova iznosi 3.300,00 KM/m2 sa uključenim PDV-om. Kupcima stanova omogućeni su fleksibilni uslovi plaćanja koji uključuju POPUSTE na navedenu cijenu.Također, svi vlasnici stanova imaju mogućnost kupovine garažnog mjesta po cijeni od 1.200,00 KM/m2 plus PDV.Za posjetu ovoj nekretnini pozovite Vašeg LOCUS agenta: 061/163-238 ili VIBER/ WhatsApp/ IMO +38761163238.Lokacija: Stambeno poslovni objekat se nalazi u blizini samog centra Vogošće i apsolutno svih sadržaja koji su potrebni za udoban život višečlane porodice kao i mladih bračnih parova.Na samo nekoliko minuta lagane šetnje smješteni su osnovna i srednja škola, dječiji vrtić, zgrada opštinske administracije, veći trgovački centar sa mnoštvom ugostiteljskih i raznih trgovačkih objekata, banke, pošta, dom zdravlja, sportski sadržaji, itd.Bitno je napomenuti da je u toku izgradnja tunela kojim će naselje Vogošća biti još bolje povezano sa samim centrom grada i ostalim gradskim naseljima.Sadržaj:  Penthouse površine 119,35m2 se sastoji od dnevnog boravka sa kuhinjom i trpezarijom, tri master sobe, tri kupatila, toaleta, hodnika, degažmana, vešeraja i lođe površine 12,36m2. Penthouse površine 132,93m2 se sastoji od dnevnog boravka sa kuhinjom i trpezarijom, tri master sobe, tri kupatila, toaleta, hodnika, degažmana, vešeraja i lođe površine 24,91m2.Penthouse površine 141,56m2 se sastoji od dnevnog boravka sa trpezarijom, tri master sobe, kuhinje, tri kupatila, toaleta, hodnika, degažmana, vešeraja i dvije lođe.Standard:Termo fasada debljine 10 centimetara sa zaštitnim samoperućim slojem. Sve staklene površine će biti zatvorene termopan staklom LOW-e sa UV zaštitom sa tri sloja stakla i osmokomornom PVC stolarijom.U dnevnom boravku i spavaćim sobama će biti ugrađen prvoklasni hrastov parket, a italijanske keramičke pločice visoke kvalitete u sanitarnim čvorovima i balkonima. Ulazna protiv provalna i protiv požarna blindo vrata. U zgradi će biti ugrađena četiri bešumna lifta. Etažno grijanje sa vlastite kotlovnice sa individulanim mjeračima. Svaki stan će biti opremljen klima uređajem.NAPOMENA:Navedena tražena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije.LOCUS Nekretnine d.o.o ne preuzima nikakvu odgovornost za moguća odstupanja od zemljišnoknjižnih podataka i katastarskih podataka sa stvarnom situacijom nekretnine na terenu. Kupac se upućuje da izvrši detaljnu provjeru svih zemljišnoknjižnih podataka, katastarskih podataka i stvarne situacije nekretnine te da se posavjetuje sa notarom, kojeg odabere za zaključenje kupoprodajnog ugovora.Agencija LOCUS Nekretnine d.o.o. je upisana u Registar posrednika kod Federalnog ministarstva trgovine pod registarskim brojem 27/2023.Planirate prodaju Vaše nekretnine? Kontaktirajte nas i uvjerite se da smo najbrži i najefikasniji: +387 33 214 441."
101,"
                                                    Stan 49m2 Sepetarevac Sarajevo - Centar 49m2
                                                ",,,,,,,,,,,,,,,True,,,,True,True,True,23.06.2023,,True,,,,,,,,,"Stan se nalazi na jako lijepoj lokaciji, u blizini gradskog prijevoza. Do centra grada Vam je potrebno 5 do 7 minuta hoda. U okolini od 200 metara imate sve što Vam je potrebno, kao što su: apoteke, pošta, bolnica, vrtiće, škole, markete, gradski prijevoz i ostalo. SVE INFORMACIJE MOŽETE DOBITI NA BROJ 062/463-110"
102,"
                                                    Kvart|Stan Sarajevo - Novo Sarajevo 53m2
                                                ",,,,,,,Grbavička,3,1970-1979,Parket,True,True,True,True,True,,,,True,True,True,12.06.2023,Jug,True,False,,True,,True,,True,,"Kvart izdvaja iz svoje ponude dvosoban stan u naselju Grbavica, u ulici Grbavička. Stan se nalazi na visokom prizemlju površine 54m2 i sastoji se od hodnika, jedne spavaće sobe, dnevne sobe, kuhinje s trpezarijom te ima izlaz na zatvoreni balkon.Grijanje je centralno gradsko, a stan je dvostrano orijentiran prema sjeveru i jugu, što ga čini jako svijetlim.Stan se prodaje u izvornom stanju, što pruža vlasnicima dodatne mogućnosti da prilagode enterijer prema vlastitim željama i potrebama. Treba istaknuti da je u stanu rađena vanjska stolarija. U neposrednoj blizini stana nalazi se javni parking, dječje igralište, pekare, pijaca, apoteka, Vilsonovo šetalište, škola te ostali sadržaji potrebni za svakodnevni život.Agent: AmelaTel: +387 61 220-446Email: amela@kvart.baKvart nekretnine d.o.o. Sarajevo Josipa Štadlera 6"
103,"
                                                    Penthouse - Stan - Novo Sarajevo - Vraca - 176m2
                                                ",,,,,,,Husinjska,,2020+,Parket,True,True,True,True,,True,,True,True,,True,08.06.2023,Sjeverozapad,True,,True,,True,True,True,True,,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448, 061 398 581E-mail: berin@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/penthouse-stan-novo-sarajevo-vraca-176-m2/CITY Nekretnine prodaje petosoban stan - penthouse u novogradnji, općina Novo Sarajevo, u Sarajevskom naselju Vraca, ukupne površine 176 m2. Stan se nalazi na prvom spratu stambene zgrade - novogradnje u ulici Husinjska, naselje Vraca, uz sami rub historijsko-memorijalnog spomen parka “Vraca”, općina Novo Sarajevo. Novoizgrađeni stambeni objekat se sastoji od četiri etaže, posjeduje vlastiti parking, dječije igralište, prostor za druženje i relaksaciju, te kvalitetno uređene zelene površine. Objekat je zatvorenog tipa sa pet stambenih jedinica različitih kvadratura. Kvadratura stana iznosi 175,50 m2, po strukturi je petosoban, sjeverozapadne orjentacije.Stan posjeduje:- Prostrani dnevni boravak sa kaminom sa izlazom na balkon sa kojeg se pruža otvoreni pogled na grad- Trpezariju i kuhinju sa izlazom na balkon- Jednu spavaću sobu- Drugu spavaću sobu sa izlazom na drugi balkon- Treću spavaću sobu sa izlazom na balkon i vlastitim kupatilom- Četvrtu spavaću soba sa vlastitim kupatilom- Kupatilo- Prostrani hodnik- Vešeraj- Tehničku sobu- Prostranu terasu sa otvorenim pogledom na grad- Centralno grijanje - etažno - plin, kombinacija podnog grijanja i radijatora Buderus- Klima uređaj u dnevnom boravku - inverter, proizvođač Daikin snage 3,5 kW- Blindirana protuprovalna i protivpožarna vrata marke Profit i video interfon- Podne obloge u stanu - troslojni parket Lamar- Kupatila opremljena italijanskom keramikom prve klase, Hansgrohe i Villeroy & Boch sanitarije- Vanjsku aluminijsku stolariju sa Schuco bravarijom i polarizovanim troslojnim staklima- Unutrašnju drvenu stolariju - hrast - staklo - dizajnirana od strane Studio ZEC- Priključke telefona, digitalne televizije i interneta, video nadzor i alarmni sistem objekta- Parking ispred zgrade - privatni sa daljinski upravljanom kapijom- Zajedničko prostrano dvorište opremljeno igralištem, roštiljem, mjestom za druženje i odmorCIJENA: 850.080 KM sa uključenim PDV-om 17%"
104,"
                                                    Trosoban stan Vraca / Grbavica
                                                ",,,,,,,Avde Smajlovica,6,1980-1989,,True,True,,,True,,,,True,True,,11.07.2022,Jugozapad,True,,,True,,,,True,True,"Prodaje se trosoban stan uknjižene površine 82m2, na prvom spratu stambene zgrade u ulici Avde Smajlovica, naselje Vraca. Nekretnina se sastoji od hodnika koji povezuje sve ostale prostorije, dnevnog boravka sa izlazaom na balkon koji je povezan sa kuhinjom i trpezarijom, dvije spavaće sobe i kupatila. Grijanje je centralno plinsko. Stan je potpuno renoviran prije 3 godina te se tom prilikom pazilo na sve detalje prilikom renoviranja u sta se možete uvjeriti na licu mjesta prilikom obilaska nekretnine.Uz stan dobijate podrumsku prostoriju od cca 4m2,
Uz stan mozete kupiti garažu po cijeni od 20000 KM, a koja je u sklopu zgrade !!
Ukoliko želite pogledati stan, ostavite mi u poruci Vas broj telefona na koji Vas mogu kontaktirati kako bi dogovorili termin.
Sve dodatne informacije mozete dobiti putem telefona 061/131 174
Goran"
105,"
                                                    MY SPACE/ Stan/ Centar/ Branislava Djurdjeva/ 66 m2
                                                ",,,,,,,Branislava Djurdjeva,,,Brodski,,True,True,True,True,,,,True,True,True,04.03.2021,,True,,True,,,True,,,,"""MY SPACE"" Nekretnine prodaju dvoiposoban stan u Sarajevu, općina Centar u ulici Branislava Djurdjeva.
Stan je površine 66 m2 i nalazi se na II spratu stambene zgrade bez lifta. Po strukturi je dvoiposoban.
Sastoji se iz hodnika, dnevnog boravka, kuhinje sa trpezarijom, ostave, spavaće sobe i kupatila. Vanjska stolarija je drvena, unutrašnja stolarija je takodjer drvena. Pod je brodski, parket i keramika. Grijanje u stanu je etažno plinsko. Stan se nalazi na atraktivnoj lokaciji, pored Predsjedništva, brojnih institucija, parkova, šoping centara i drugih sadržaja.
Više informacija možete dobiti na linku: https://www.nekretnine-myspace.com/nekretnine/dvoiposoban-stan-centar-66-m2-12293/
Cijena stana je 250.000 KM.
Sve informacije možete dobiti na slijedeće brojeve telefona:+387 62 772 336+387 66 499 822http://www.nekretnine-myspace.com
MY SPACE NekretnineAlipašina br. 1671000 Sarajevo
 
 "
106,"
                                                    BNpro nekretnine/Stan u kući/Bistrik/Huremuša/155m²
                                                ",,,,,,,Huremuša,8,,Parket,True,,,,True,,,,True,True,,29.04.2022,Sjever,True,,True,True,,True,True,True,,"BNpro Nekretnine prodaju stan na Bistriku od 155m² sa prelijepim pogledom na Bistričku Stanicu i Stari grad.
Stan se nalazi na 3 (trećem) spratu u potkrovlju kuće koja je etažirana.
Sastoji od 2 (dvije) etaže:
Na prvoj etaži se nalazi: hodnik, velika kuhinja, 2 spavaće sobe, kupatilo, dnevni boravak sa trezarijom i balkon
Drugoj etaži se pristupa stepenicama iz dnevnog boravka, a čine je 2 (dvije) veće spavaće sobe, sa malim ostavama koje su smještene u kosinama krova i čardak.
Grijanje  je etažno putem kotlovnice na plin.
Nekretnina posjeduje alarm, interfon i 1 (jedno) parking mjesto ispred kuće.
U neposrednoj blizini se nalazi Bistrička stanica, Vijećnica, autobuska stanica, a samo nekoliko minuta vas dijeli od Sebilja srca Baščaršije
Za sva pitanja i dogovor oko posjete nekretnini stojimo Vam na raspolaganju
 
Kontaktirajte nas na broj telefona +387 62 547 496 ili na e-mail: nekretnine@bnpro.ba
NAPOMENA:
Navedena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije."
107,"
                                                    Stan Sarajevo - Otoka 76m2
                                                ",,,,,,,,,,,,,,,,,,,,,,23.06.2023,,,,,,,,,,,"Prodaje se trosoban stan u naselju Otoka na 14 spratu od 18 spratova. Stan se sastoji od dnevnog boravka, dvije spavaće sobe, kuhinje, trpezarije, banje i wc-a. Stan ima 2 balkona. Ugrađena su blindirana vrata a grijanje je centralno na toplane. Do zgrade je škola i obdanište kao i tržni centar i pijaca. U neposrednoj blizini je tramvaja i trolejbusa.NAPOMENA: ne odgovaram na upit o zadnjoj cijeni"
108,"
                                                    Stan 53,08m2 | Gornji Kovačići
                                                ",,,,,,,Ulica Ohridska br: 23,,,Parket,,True,,,True,,,,True,True,,11.10.2021,,True,,True,,,,,,,"Stan 53,08m2 |  Gornji Kovačići

Ulica Ohridska br: 23 | Novo Sarajevo
 
Šifra nekretnine: MH-0148
 
 
Lokacija nekretnine

Stan se nalazi u sklopu stambenog objekta u naselju Gornji Kovačići, općina Novo Sarajevo. Nekretnina se nalazi na etaži II. Ukupna površina stana je 53,08m2. Stan se sastoji iz hodnika, spavaće sobe, dnevnog boravka, kuhinje, kupatila i terase. Iz dnevnog
    boravka se pruža prelijep pogled na grad.
 
Opis nekretnine

·        Kvadratura:               53,08m2 | dvosoban
·        Sadržaj:                    Spavaća soba, dnevni boravak sa kuhinjom, hodnik, kupatilo i terasa.
·        ZK:                           1/1
 
·        Stolarija:                    
Ulazna vrata – protuprovalna
Unutrašnja stolarija – drvo
Vanjska stolarija – PVC
 
·        Pod:                            Kombinacija keramičke pločice / parket
 
Režijski troškovi su prilagođeni realnoj potrošnji, uz instalirane zasebne mjerače potrošnje.
·        Grijanje:                     Plinsko etažno
·        Voda:                          Vlastiti vodomjer
 
 
 
Podrška MH Prodajnog agenta

·        Obilazak i prezentacija predmetne nekretnine
·        Preporuka za eventualne izvore finansiranja
·        Asistencija pri obradi dokumentacije
·        Preporuka za pravnu i notarsku podršku
 
Agencija MH nekretnine su Vaš partner pri rješavanju jedne od osnovnih životnih potreba – pronalaska optimalnog doma za Vašu porodicu! Uz Vas smo od trenutka odluke za kupovinu do samog sretnog useljenja!
 
 
Cijena predmetne nekretnine:   100.000,00KM

 
 
MH nekretnine
Dovoljan je samo potpis!
 
Kontaktirajte nas za više informacija ili dodatni savjet:
MH nekretnine
A:         Branislava Nušića 158A
T:         033 868 709
M:        061 292 228
@:       info@mhnekretnine.ba
W:       www.mhnekretnine.ba"
109,"
                                                    Dvosoban stan od 58m2 sa 2 lođe, Hrasno
                                                ",,,,,,,Antuna Branka Šimića,,1970-1979,Parket,True,True,True,True,True,,True,,True,True,True,26.05.2023,Jugozapad,True,,,,,True,,True,,"TOP NEKRETNINE d.o.o. Sarajevo (Broj u registru posrednika FMT: 23/2022) oglašava dvosoban stan od 58m2 sa 2 balkona, na 16. spratu nebodera u ulici Antuna Branka Šimića, naselje Hrasno.﻿KontaktEdin DelićAgent za nekretnineMob:    +387 61 800 069E-mail: agencija@topnekretnine.baKoševo 10/I 71000 Sarajevo, BiHTel:      +387 33 265 645Fax:     +387 33 265 646Web:    topnekretnine.ba"
110,"
                                                    Trosoban stan / Stup / 57m2 / Balkon
                                                ",,,,,,,Stupska,6,2015+,Parket,True,True,True,True,True,True,True,,,True,,22.05.2023,Sjeverozapad,True,,,,,,,True,,"ON TIME Agencija za nekretnine prodaje trosoban stan površine 57 m2, u Sarajevu, naselje Stup - Tibra II.SADRŽAJ: Prodaje se fantastičan trosoban stan površine 57 m2, u zgradi novije gradnje na osmom spratu stambenog objekta „Tibra“, koji posjeduje dva lifta, u naselju Stup, ul. Stupska. Za sve informacije o ovoj ponudi i svim ostalim pojedinostima pozovite Vašeg agenta: Nedim Hodžić Mob/Viber/WhatsApp +387 61 758 287.Stan se sastoji od dnevnog boravka u otvorenoj komunikaciji sa kuhinjom i trpezarijom, dvije spavaće sobe, hodnika, kupatila i balkona. Stan je jednostrano orijentisan istočne orijentacije.Stan se prodaje polunamješten.  STANDARD: Centralno grijanje (kotlovnica); vanjska PVC stolarija; unutrašnja drvena stolarija; podni dijelovi su parket i keramika; ulazna vrata su blindirana; interfon, klima uređaj..LOKACIJA: Nekretnina se nalazi na osmom spratu stambene zgrade u ulici Stupska, naselje Stup, Opština Ilidža.U neposrednoj bilizini smješteni su svi sadržaji potrebni za svakodnevni život: supermarket “Bingo”, „Time Caffee“, nekoliko samoposluga, pekare, banke i bankomati, benzinska pumpa, veliki broj ugostiteljskih objekata i slastičarni, kao i restorana, mesnica i sl. U radijusu od cca 3 kilometra smješten je i Međunarodni aerodrom Sarajevo.Lokacija je dobro povezana sa gradskim saobraćajem te se tramvajsko stajalište nalazi svega 300 metara od zgrade. Glavna gradska saobraćajnica je smještena odmah pored naselja te je i cestovnim putem ova lokacija povezana sa svim ostalim dijelovima grada.CIJENA: 195.000 KM.FINANSIRANJE Putem ugovora o saradnji sa komercijalnim bankama u mogućnosti smo da Vam ponudimo u svakom trenutku najpovoljnije uslove finansiranja kupovine nekretnina na tržištu. https://ontime.ba/nekretnine/stanovi/ilidza/trosoban-stan-stup-57-m2-balkon/Sve informacije možete dobiti na slijedeće brojeve telefona:+387 61 758 287+387 62 215 807ON TIME Agencija za nekretnineDžemala Bijedića 279H71000 Sarajevohttps://ontime.bainfo@ontime.bahttps://ontime.olx.ba/ https://www.facebook.com/OnTimeNekretninehttps://www.instagram.com/on_time_agencija_za_nekretnine/ NAPOMENA:Navedena tražena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije. "
111,"
                                                    Stan / Doglodi / 53.35m2 / NOVOGRADNJA
                                                ",,,,,,,Uglješe Uzelca,53.35,2020+,Parket,True,True,True,True,True,True,,True,True,True,True,07.04.2023,Jugoistok,True,,,,,,,True,,"ON TIME Agencija za nekretnine prodaje fantastičan stan u novogradnji, površine 53,35 m2,  u naselju Doglodi.Prodaje se fantastičan polunamješten stan u novogradnji površine 53,35m2 u naselju Doglodi, Opština Ilidža. Objekat se nalazi uz ceste Bojnička i Uglješe Uzelca odakle je i prilaz objektu. Objekat je spratnosti P + 2Sp. Stan se nalazi na drugom spratu i jednostrane je orijentacije. Uz kupovinu stana dobijate označeno vanjsko parking mjesto ispred objekta.Za sve informacije o ovoj ponudi i svim ostalim pojedinostima pozovite Vašeg agenta: Nedim Hodžić Mob/Viber/WhatsApp +387 61 758 287.Stan se sastoji od dnevnog boravka u spoju sa kuhinjom i trpezarijom, spavaće sobe, kupatila, hodnika i balkona. Stan je orijentisan dvostrano i to jugoistočne orijentacije, što ga čini svijetlim tokom sunčanih dana.STANDARD: Grijanje je na inverter klima uređaje; Vanjska PVC stolarija; Unutrašnja drvena stolarija; Ulazna vrata blindirana; Podni dijelovi su parket i keramika.. DOSTUPNE KVADRATURE STANOVA II sprat: Stan S1 ( JEDNOIPOSOBAN STAN )– površine 50,30 m2 – 130.780 KM Stan S2 ( JEDNOIPOSOBAN STAN )– površine 53,35 m2 – 138.710 KM Stan S3 ( DVOIPOSOBAN STAN )– površine 73,50 m2 – 169.050 KM LOKACIJA: Poslovno-stambeni objekat se nalazi uz glavnu saobraćajnicu u naselju, te stanice javnog gradskog prevoza su nalaze ispred samog objekta.U blizini je sadržaj potreban za svakodnevni život kao što su škola cca 1km, vrtić 150m, ugostiteljski, uslužni objekti, supermarketi i dr. Udaljenost od aerodoma je 5km od centra Ilidže 4km. CIJENA: 138.710 KM.CIJENA KOMPLETNOG NAMJEŠTENOG STANA: 144.045 KM.Sve cijene su iskazane sa uračunatim PDV-om!NA NEKRETNINU SE NE PLAĆA POREZ NA PROMETOVANJE NEKRETNINE!!FINANSIRANJE Putem ugovora o saradnji sa komercijalnim bankama u mogućnosti smo da Vam ponudimo u svakom trenutku najpovoljnije uslove finansiranja kupovine nekretnina na tržištu. https://ontime.ba/nekretnine/stanovi/ilidza/jednoiposoban-stan-doglodi-5335-m2-novogradnja/Sve informacije možete dobiti na slijedeće brojeve telefona:+387 61 758 287+387 62 215 807ON TIME Agencija za nekretnineDžemala Bijedića 279B71000 Sarajevohttps://ontime.bainfo@ontime.bahttps://ontime.olx.ba/https://www.facebook.com/OnTimeNekretninehttps://www.instagram.com/on_time_agencija_za_nekretnine/NAPOMENA:Navedena tražena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije."
112,"
                                                    AURA/ Top Stan 70m2 / 1.spr / A faza Alipašino
                                                ",,,,,,,,6,1980-1989,Parket,True,True,True,True,True,,True,,True,True,True,18.04.2023,,True,,,True,,True,,True,True,"AGENCIJA AURA osigurava kupce policom odgovornosti u procesu kupoprodaje ovog stana.



AURA PRODAJE trosoban stan na prvom spratu na Alipašinom polju A faza, iza ASA Banke.



STRUKTURA: Stan je po stukturi trosoban i sastoji se od velike dnevne sobe koja gleda na zelenu površinu, dvije spavaće sobe, hodnika, predsoblja, terpezarije, kuhinje, kupatila, toaleta i zatvorenog balkona. Površina stana prema ZK izvadku je 70m2 bez balkona. Nalazi se prvom spratu u zgradi sa liftom. Stan posjeduje pripadajuću podrumsku prostoriju u suterenu. Na spratu se nalazi veliki zatvoreni prostor (Haustorski hodnik) u kojem se može parkirati biciklo i sl. Takodjer, zgrada ima sklonište. 



STANDARD: Stan je nedavno adaptiran. Postavljeni su novi PVC prozori, prelakiran parket na podu, zamjenjena keramika u hodnicima i kuhinji, zamjenjeni gusani radijatori, postavljena su nova kvalitetna sigurnosna ulazna vrata. Jedino nije adaptirano kupatilo i vc. U zgradi je centralno gradsko grijanje. Stan je osunčan veći dio dana.



LOKACIJA: Stan se nalazi u sigurno najljepšem dijelu Alipašinog Polja u A fazi, kod ASA Banke. U bližoj okolini nalaze se svi potrebni objekti i institucije. Ispred zgrade se nalazi veliki park. Javni parking se nalazi ispred zgrade, na kojem nikad nije problematično pronaći mjesto. Biciklistička staza, šetališta, Amko komerc, ambulanta, apoteka, banka, restorani i kafici, manji i veći parkovi, škola, obdenište, tramvaj, autobuska stanica – komercijala se nalaze se u krugu od 50 metara. Pogled stana je okrenut prema parku odnosno unutrašnjosti kvarta, tako da je distanciran od tramvajske buke, te odiše mirom i prirodnim zelenilom. 



VLASNIŠTVO uredno.


*** PRODAJETE STAN? Javite se i ostvarite brzu prodaju uz promotivnu agencijsku naknadu u iznosu od 1,99%.


*** Na linku ispod možete vidjeti druge nekretnine koje imamo u ponudi:



https://auranekretnine.ba/nekretnine-ponuda/



AURA NEKRETNINE 


Centar, Sarajevo


Antuna Hangija 69


Reg. br: 16-17-809/22




☎ +38761560888



🔗 https://auranekretnine.ba/



📨 info@auranekretnine.ba"
