,title,cijena,kvadratura,broj_soba,sprat,namjesten,stanje,vrsta_grijanja,vrsta_oglasa,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,balkon,blindirana_vrata,internet,kablovska_tv,kanalizacija,klima,lift,novogradnja,struja,voda,tel_prikljucak,datum_objave,primarna_orijentacija,uknjizeno_zk,kucni_ljubimci,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,balkon,nedavno_adaptiran,details
72,"
                                                    Stan novogradnja Ilidža Sarajevo
                                                ",280.000 KM,87,Trosoban (3),1,Nenamješten,,Centralno (Plin),Prodaja,,5,2020+,Parket,True,True,,,True,True,True,True,True,True,,19.01.2023,,True,False,True,,True,,True,True,,"Professionals Real Estate prodaje ekskluzivan stan u novogradnji na Ilidži pored Velike aleje u ulici IV viteške brigade. 

# Stan je NOV, NEKORIŠTEN!

 

Pozicioniran je na prvom spratu atraktivne novoizgrađene stambene jedinice sa liftom. Sastoji se od ulaznog hodnika 7,08 m2, dnevnog boravka sa trpezarijom 25,71 m2, kuhinje 3,89 m2, spavaće soba 1 sa kupatilom 18,98 m2, toaleta u hodniku površine 3,35 m2, spavaće sobe 2 sa kupatilom 24,48 m2, lođe (5,30 x 0,75) 3,97 m2, ukupne uknjižene površine 87,46 m2. 

Grijanje je plinsko, etažno. Svaka soba posjeduje inverter klimu što može biti dodatna opcija zagrijavanja stana.

Stan se prodaje nenamješten u stanju prikazanom na fotografijama. Posjeduje veoma funkcionalnu dispoziciju prostorija, max. funkcionalnost, osvijetljenost, prozračnost, otvoren pogled, visoko kvalitetnu vanjsko-unutrašnju stolariju, parkete,  blindo vrata, tri klima uređaja...

Prilikom izgradnje stambene jedinice, korišteni su visokokvalitetni materijali koji su naposljetku doprinijeli da ova stambena jedinica bude atraktivna i poželjna za investiciju.

Stanu ne posjeduje garažno mjesto. Postoji mogućnost iznajmljivanja istog u sklopu objekta. Pored objekta se nalazi nekoliko privatnih/javnih parking površina koje je moguće koristiti.

Lokaciju na kojoj se nalazi predmetna nekretnina karakteriše veliki procenat zelene površine, mir i tišina, što pruža posebnu ugodnost stanarima. U krugu od 300 m se nalaze brojni sadržaji poput instituta za fizijatriju i rehabilitaciju, terme, picerija Aleja, poznato šetalište Velika aleja, Internacionalni univerziteti, hoteli (Malak, Krone i dr.), brojni ugostiteljski objekti, šetališta, parkovi itd...

STAN JE UKNJIŽEN NA FIZIČKO LICE 1/1! Nema dugova, smetnji niti prepreka za prijenos vlasništva na drugo lice!

Cijena:280.000,00 KM 

 

Za sve ostale informacije kao i zakazivanje termina za razgledavanje predmetnog stana, pozovite sljedeće brojeve telefona:

+387 (62) 245 363

+387 (61) 733 004

+387 (62) 396 944

 

http://www.profnekretnine.ba

info@profnekretnine.ba

https://www.facebook.com/ProfessionalsRealEstate


*Professionals agencija za nekretnine je upisana u registar posrednika kod Federalnog ministarstva trgovine pod registarskim brojem 9/2022. 

*Naši uposlenici su certificirani i stručno osposobljeni."
73,"
                                                    Renoviran stan Hrasnica Ilidža Sarajevo
                                                ",65.000 KM,30,Jednosoban (1),Suteren,Nenamješten,Renoviran,Struja,Prodaja,Šehitluci,,,Laminat,,True,,,True,,,,True,True,,19.01.2023,,True,,,,,,,,True," Professionals Real Estate prodaje kompletno renoviran stan u Hrasnici, ulica Šehitluci, općina Ilidža. Stan je smješten u suterenu stambene jedinice u kojoj se nalaze ukupno tri sprata. Sastoji se od ulaznog hodnika, dnevnog boravka, manje sobe i kupatila. Instalacije za kuhinju se nalaze u hodniku. Stan je kompletno i detaljno renoviran, te poslije renoviranja nije korišten. Prodaje se u stanju prikazanom na fotografijama. Posjeduje izuzetno funkcionalan raspored prostorija, vanjsku PVC stolariju, laminate na podovima, protuprovalna vrata, renovirani su zidovi, elektro i vodoinstalacije, itd...Lokacija na kojoj se nalazi predmetna nekretnina, sa brojnim sadržajima koji su potrebni za svakodnevni boravak, stan čine izuzetno pogodnim za stanovanje. U krugu od 500 m se nalaze obrazovne institucije (Osnovna škola, vrtić), Sportski centar Hrasnica, džamija, ugostiteljski objekti, trgovine, marketi, apoteke....Dokumentacija je uredna, vlasništvo 1/1, bez tereta!! Cijena: 65.000 KM Za sve ostale informacije kao i zakazivanje termina za razgledavanje predmetne nekretnine, pozovite sljedeće brojeve telefona:+387 (62) 396 944+387 (62) 245 363+387 (61) 733 004http://www.profnekretnine.bae-mail: info@profnekretnine.bahttps://www.facebook.com/ProfessionalsRealEstate 
*Professionals agencija za nekretnine je upisana u registar posrednika kod Federalnog ministarstva trgovine pod registarskim brojem 9/2022. *Naši uposlenici su certificirani i stručno osposobljeni."
74,"
                                                    Stan Koševsko Brdo Centar Sarajevo
                                                ",295.000 KM,77,Četverosoban (4),2,Nenamješten,,Centralno (Plin),Prodaja,Antuna Hangija,,,Parket,True,,,,True,,,,True,True,,07.02.2023,,True,,,,,True,,True,,"Professionals Real Estate prodaje četverosoban dvoetažni stan na Koševskom Brdu u ulici Antuna Hangija, općina Centar - Sarajevo.Stan je smješten na drugom spratu stambene jedinice u jednom od ljepših dijelova grada Sarajeva. Sastoji se od dvije etaže sa sljedećim rasporedom prostorija: PRVA ETAŽA: ulazni  hodnik, dnevnog boravak, spavaća soba, kuhinja sa trpezarijom, kuhinja, kupatilo i balkom. DRUGA ETAŽA: dvije spavaće sobe, manje kupatilo i ostava. Uknjižena površina stana iznosi 77 m2, dok je stvarna površina 90 m2. Grijanje je plinsko, etažno. Stan je u izvornom stanju i potrebna je kompletna adaptacija istog. Posjeduje vanjsku i unutarnju drvenu stolariju, parkete na podovima, dvostranu orijentaciju Postoji mogućnost kupovine garaže koja je smještena na prizemlju u istoj zgradi. Cijena garaže je 40.000 KM.Lokacija na kojoj se nalazi predmetna nekretnina je jedna od najatraktivnijih u gradu Sarajevu, a takvom je čini blizina brojnih sadržaja koji su potrebni za ugodan boravak, izuzetno mirno okruženje i veliki postotak zelene površine. U krugu od 500 m se nalaze obrazovne institucije, nekoliko ambasada, Avaz Twist Tower, ugostiteljski objekti, trgovine, i sl.  Cijena: 295.000 KM Za sve ostale informacije, kao i rezervaciju termina za  posjetu predmetne nekretnine pozovite sljedeće brojeve telefona: +387 (62) 396 944+387 (62) 245 363+387 (61) 733 004 
e-mail: info@profnekretnine.bawww.profnekretnine.bahttps://www.facebook.com/ProfessionalsRealEstate*Professionals agencija za nekretnine je upisana u registar posrednika kod Federalnog ministarstva trgovine pod registarskim brojem 9/2022. *Naši uposlenici su certificirani i stručno osposobljeni."
75,"
                                                    Stan Hrasno Novi Grad - Sarajevo
                                                ",159.000 KM,157,Petosoban i više,Prizemlje,Nenamješten,,Plin,Prodaja,,12,,Laminat,True,,True,True,True,,,,True,True,True,26.05.2023,,True,,True,,,True,,True,,"Professionals real estate prodaje šestosoban stan preko puta bosmala u naselju Hrasno, ul. Hamdije Pozderca, opština Novi Grad - Sarajevo. # Stan zuzima cijeli sprat kuće. Ne dijelite ništa ni sa kim! Kao da kupujete stan u stambenoj zgradi.# Kupovina ove nekretnine je moguća isključivo preko Professionals real estatePredmetni stan  raspolaže uknjiženom površinom od 157 m2, te predstavlja poseban dio porodičnog stambenog objekta (stan u kući) koji je pozicioniran na prizemlju a sastoji se od sljedećih prostorija:  ulazni hodnik, dnevni boravak sa kuhinjom i trpezarijom, 4 spavaće sobe, dvije pomoćne prostorije koje imaju po cca 15 m2 ( bez problema mogu biti poslovne ili stambene prostorije), kupatila, wc-a, balkona i terase.Grijanje je plinsko, etažno - međutim trenutni vlasnik koristi grijanje na drva.Stan je potrebno adaptirati. Krasi ga zavidan komoditet i lijepa dispozicija prostorija.U sklopu objekta se nalazi garaža koja pripada ovom stanu (posjeduje zaseban zk izvadak) u površini od 20 m2. Lokacija na kojoj se nalazi predmetna nekretnina je definitivno jedna od najboljih u gradu. Na udaljenosti od 5 min laganog hoda se nalaze svi neophodni sadržaji (centri i institucije) potrebni za svakodnevni život čovjeka.Dokumentacija u potpunosti uredna! Vlasništvo 1/1 BEZ TERETA! Cijena za stan i garažu: 159.000 KM. Za sve ostale informacije kao i zakazivanje termina za razgledavanje predmetnog stana, pozovite sljedeće brojeve telefona:+387 (62) 245 363+387 (61) 733 004 +387 (62) 396 944 http://www.profnekretnine.bainfo@profnekretnine.ba *Professionals agencija za nekretnine je upisana u registar posrednika kod Federalnog ministarstva trgovine pod registarskim brojem 9/2022. *Naši uposlenici su certificirani i stručno osposobljeni."
76,"
                                                    NOVOGRADNJA ILIDŽA! Izuzetno lijep trosoban stan
                                                ",285.192 KM,79,Trosoban (3),8,Nenamješten,Novogradnja,Struja,Prodaja,Blažujski Drum,6.87,2015+,,True,True,True,True,True,True,True,True,True,,True,16.06.2023,,True,,,,True,,,True,,"Prodajemo komforan trosoban stan površine 79,22m2, koji se nalazi na osmom spratu novoizgrađenog stambeno-poslovnog objekta u centralnom dijelu naselja Ilidža. Stan ima vrlo lijep panoramski pogled na naselje, a koji se pruža iz dnevnog boravka i sa lođe kojoj je omogućen pristup iz dnevnog boravka. Sastoji od velikog dnevnog boravka sa kuhinjom i trpezarijom, dvije spavaće sobe, predsoblja, degažmana, lođe, toaleta i kupatila. Nestandardni, veliki prozorski otvori u dnevnom boravku, u kombinaciji sa jugoistočnom orjentacijom i spratnošću ovom stanu pružaju obilje prirodne svjetlosti tokom većeg dijela dana. Zgrada u kojoj se stan nalazi broji ukupno dvanaest spratova, ima vrlo komforno stubište sa dva lifta i pokrivena je videonadzorom. Uz stan postoji mogućnost kupovine garažnog mjesta po cijeni od 30.000KM sa uračunatim PDVom, koje se nalazi u suterenskoj etaži objekta, te mogućnost kupovine ostave smještene na etaži stana. Svi stanovi u ovom stambeno – poslovnom objektu su useljivi i etažirani.  Cijena istaknuta u oglasu je sa uračunatim PDVom, što znači da budući kupac nema obavezu plaćanja poreza na promet nekretnine! Standard:Grijanje na toplotne pumpe (Inverter). Termostat za podešavanje grijanja ili hlađenja prostorija Unutrašnja drvena stolarija. Vanjska PVC visoko kvalitetna stolarija. Žaluzine između prozorskog stakla. Parket u sobama. Keramičke pločice u kupatilu, toaletu, predsoblju, kuhinji i balkonu. Protupožarna i protuprovalna ulazna blinda vrata. Interfon. Dva lifta. Lijepo uređeno dvorište ispred objekta. Lokacija:Stan se nalazi u ulici Blažujski Drum, u jednom od najatraktivnijih dijelova općine i naselja Ilidža. U neposrednoj blizini objekta se nalazi šetalište „Velika aleja“, Internacionalni univerzitet u Sarajevu, nekoliko osnovnih i srednjih škola, stanice javnog gradskog saobraćaja, tržni centri, zdravstvene ustanove i brojni drugi sadržaji. Naselje obiluje zelenim površinama i parking prostorom.   Link na oglas:  https://www.metropolanekretnine.ba/oglas/novogradnja-ilidza-izuzetno-lijep-trosoban-stan-ilidza/Više informacija možete dobiti ukoliko pozovete našeg Agenta METROPOLA NEKRETNINE d.o.o. Sarajevo Agent: Sanjin Smječaninprodaja@metropolanekretnine.bamob.: +387 61 481 815tel/fax: +387 33 956 333www.metropolanekretnine.baFACEBOOK FAN PAGE"
77,"
                                                    Dvosoban stan Pejton prodaja Ilidža
                                                ",128.000 KM,51,Dvosoban (2),4,Nenamješten,Za renoviranje,Centralno (gradsko),Prodaja,,4,,Parket,True,,,,True,,,,True,True,True,01.06.2023,,True,,,,,,,True,,"Stanpromet.ba agencija za nekretnine iz svoje ponude za prodaju izdvaja klasičan dvosoban stan sa balkonom na Ilidži u naselju Pejton, ulica Josipa Slavenskog.Nekretnina je smještena na četvrtom ujedno i posljednjem spratu zgrade bez lifta. Površina stana je 51 m2, a čine je dnevni boravak, kuhinja s trpezarijom, spavaća soba, ulazni hodnik, kupatilo i ostava. Izlaz na balkon je iz dnevnog boravka i spavaće sobe. Stan je dvostrane orijentacije, u izvornom stanju, te mu je potrebna adaptacija.Lokaciju krasi bogat gradski sadržaj, centar Ilidže je na 2 minute hoda, kao i sve potrebno za lagodan život.Certificirana agencija za nekretnine Stanpromet.ba NekretnineRegistarski broj posrednika 001/2022!Grbavička 8b, 71000 SarajevoAgent Emin Canović+38762943330agencija@stanpromet.ba"
78,"
                                                    Četverosoban stan - Novogradnja - Vogošća - Hotonj
                                                ",346.625 KM,131,Četverosoban (4),1,Nenamješten,,Centralno (Plin),Prodaja,Donji Hotonj,,2020+,Parket,True,True,True,True,True,,,True,True,,True,16.04.2023,Jugoistok,True,,True,,True,True,,True,,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448, 061 398 581E-mail: berin@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/cetverosoban-stan-novogradnja-vogosca-hotonj-131-m2/CITY Nekretnine prodaje četverosoban stan sa terasom u novogradnji u općini Vogošća, naselje Hotonj, ukupne površine 131 m2.Stan se nalazi na prvom spratu stambene zgrade - novogradnje “Casa Perla” u ulici Donji Hotonj, naselje Hotonj, općina Vogošća. U neposrednoj blizini zgrade nalazi se supermarket, džamija, Osnovna škola “Izet Šabić”, ambulanta porodične medicine, autobuska stanica, kao i drugi sadržaji koji su karakteristični za ovo naselje koje će u skorijoj budućnosti brzom cestom biti povezano sa centrom grada.Kvadratura stana iznosi 131,22 m2, po strukturi je četverosoban, jugoistočne orjentacije.Stan posjeduje:- Dnevni boravak sa izlazom na veću terasu- Prostranu terasu- Trpezariju i pripremu za kuhinju- Glavnu spavaću sobu sa vlastitim kupatilom i garderoberom- Dodatne dvije spavaće ili radne sobe- Kupatilo- Ostavu - vešeraj- Hodnik i degažman- Centralno grijanje - etažno - plin- Pripremu instalacije za klima uređaj- Blindirana vrata, video Interfon, video nadzor- Vanjsku PVC stolariju sa el.vanjskim roletnama i unutrašnju drvenu stolariju- Priključke telefona, kablovske televizije i interneta- Mogućnost kupovine garažnog mjesta (nije uključeno u cijenu)CIJENA: 346.625 KM"
79,"
                                                    Stan - Novogradnja - Centar - Kromolj
                                                ",Na upit,57,Dvosoban (2),1,Nenamješten,U izgradnji,Centralno (Plin),Prodaja,Slatina,,2020+,Parket,True,True,True,True,True,True,True,True,,,True,14.06.2023,Zapad,,,True,,,,,True,,"CITY Nekretnine d.o.oUpisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448, 061 398 581E-mail: berin@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/stan-novogradnja-centar-kromolj/CITY Nekretnine prodaje stanove u modernom objektu u izgradnji , novogradnja “K11” u naselju Kromolj, općina Centar, površine od 57 m2 do 96 m2 (stanovi).Objekat u izgradnji - novogradnja “K11” se nalazi u ulici Slatina, u mirnom dijelu naselja Kromolj, općina Centar smještena u najsunčanijem dijelu Sarajeva. Svi sadržaji su u blizini i lahko dostupni, kao što su autobuska stanica, osnovna škola, vrtić, supermarket, kao i mnogobrojne ostale trgovine, caffe bar, pizzerija i ostali sadržaji koji su karakteristični za ovo jedno od najtraženijih naselja za stanovanje.Kvadrature stanova iznose od 57 m2 do 96 m2, a po strukturi su dvosobni i trosobni. Objekat se sastoji od dvije suterenske etaže, prizemlja i dvije etaže sprata. Suterenska etaža (-2) riješena je kao dvonamjenska, parking garaža, kapaciteta 23 parking mjesta.Svi ugrađeni materijali i oprema su od renomiranih proizvođača sa naglaskom na zaštitu okoliša i energetsku efikasnost. Visok standard gradnje i korištenih materijala rezultirao je kreiranjem maksimalno iskorištenog prostora sa mnogo prirodnog svjetla unutar svake stambene jedinice.Stanovi posjeduju:- Dnevni boravak i trpazariju- Kuhinju- Spavaću sobu (jednu ili dvije – u zavisnosti od tipa stana)- Balkon- Kupatilo sa prvoklasnom sanitarijom i opremom- Plinsko etažno grijanje – sa kondenzacijskom tehnologijom optimizira potrošnju plina te time omogućava uštedu troškova- Kvalitetan klima uređaj- Luksuzna ulazna protuprovalna vrata- U stambenim prostorima je predviđena podna obloga od panelnog parketa I klase, dok je u sanitarnim prostorima i balkonima (lođama) predviđena obloga od protukliznih keramičkih pločica- Kvalitetnu vanjsku PVC stolariju u antracit boji- Priključke telefona, kablovske televizije i interneta- Posebna brojila za struju, vodu i plin uz daljinska očitanja stanja- Vanjska obrada fasada riješena je kao termofasada d=10-12cm, termo-fasadni sistem Ceresit u sivo-bijeloj boji- Mogućnost kupovine garažnog mjesta, cijena 20.000 KM + PDV- Mogućnost kupovinje vanjskog parking mjesta po cijeni 10.000 KM + PDVStambeni objekat “K11” je u fazi izgradnje, završetak radova i planirani rok za useljenje je novembar-decembar 2023. godine.CIJENE STANOVA:STAN 1 - SUTEREN - Površine 84,06 m2 - Cijena: 378.270 KM – DOSTUPANSTAN 2 - SUTEREN - Površine 96,96 m2 - Cijena: 436.320 KM – DOSTUPANSTAN 3 - SUTEREN - Površine 61,89 m2 - Cijena: 278.505 KM – DOSTUPANSTAN 4 - SUTEREN - Površine 75,86 m2 - Cijena: 341.370 KM – DOSTUPANSTAN 5 - SUTEREN - Površine 96,36 m2 - Cijena: 433.620 KM – DOSTUPANSTAN 6 - SUTEREN - Površine 67,59 m2 - Cijena: 304.155 KM - DOSTUPANSTAN 7 - SUTEREN - Površine 61,89 m2 - Cijena: 278.505 KM – DOSTUPANSTAN 9 - PRIZEMLJE - Površine 96,96 m2 - Cijena: 436.320 KM – DOSTUPANSTAN 10 - PRIZEMLJE - Površine 57,70 m2 - Cijena: 259.650 KM – DOSTUPANSTAN 11 - PRIZEMLJE - Površine 75,86 m2 - Cijena: 341.370 KM – DOSTUPANSTAN 12 - PRIZEMLJE - Površine 96,36 m2 - Cijena: 433.620 KM – DOSTUPANSTAN 14 - PRIZEMLJE - Površine 57,70 m2 - Cijena: 259.650 KM – DOSTUPANSTAN 16 - PRVI SPRAT - Površine 96,96 m2 - Cijena: 436.320 KM – DOSTUPANSTAN 17 - PRVI SPRAT - Površine 57,70 m2 - Cijena: 259.650 KM – DOSTUPANSTAN 18 - PRVI SPRAT - Površine 75,86 m2 - Cijena: 341.370 KM – DOSTUPANSTAN 21 - PRVI SPRAT - Površine 57,70 m2 - Cijena: 259.650 KM – DOSTUPANSve navedene cijene uključuju PDV.Za sve dodatne informacije, kao i za termin obilaska nekretnine stojimo Vam na raspolaganju."
80,"
                                                    Dvosoban stan - Hadžići - Centar - 58 m2
                                                ",145.000 KM,58,Dvosoban (2),4,Nenamješten,Renoviran,Centralno (gradsko),Prodaja,Džamijska (Bivša Hadželi),,1980-1989,Laminat,True,True,True,True,,,,,,,True,03.03.2023,Sjeverozapad,True,,,,,,,True,True,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448E-mail: mirza@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/dvosoban-stan-hadzici-centar-58-m2/CITY Nekretnine prodaje dvosoban stan sa balkonom u općini Hadžići, u užem centru Hadžića, ul. Džamijska, ukupne površine 58 m2.Stan se nalazi na četvrtom spratu stambene zgrade u ulici Džamijska (bivša Hadželi), naselje i općina Hadžići. U neposrednoj blizini zgrade nalazi se supermarket, apoteka, Džamija Hadžići, autobuska stanica, banka, caffe bar, pekara, kao i drugi mnogobrojni sadržaji koji su karakteristični za ovu lokaciju.Kvadratura stana iznosi 58 m2, po strukturi je dvosoban, sjeverozapadne orjentacije.Stan posjeduje:- Dnevni boravak sa izlazom na balkon- Balkon- Trpezariju i kuhinju- Spavaću sobu- Kupatilo- Hodnik- Centralno grijanje - gradsko - Toplane- Blindirana vrata, Interfon- Vanjsku i unutrašnju drvenu stolariju- Priključke telefona, kablovske televizije i interneta- Parking u blizini zgrade - javniCIJENA: 145.000 KM"
81,"
                                                    Jednosoban stan - Centar - Koševsko brdo - 49 m2
                                                ",180.000 KM,49,Jednosoban (1),1,Nenamješten,,Plin,Prodaja,Antuna Hangija,,1970-1979,Parket,True,True,True,True,True,,,,True,True,True,12.02.2023,Istok,True,,True,,,True,,True,,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448, 061 398 581E-mail: berin@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/jednosoban-stan-centar-kosevsko-brdo-49-m2/CITY Nekretnine prodaje jednosoban stan sa balkonom u općini Centar, naselje Koševsko brdo - Gornje Ciglane, ukupne površine 49 m2. Stan se nalazi na prvom spratu stambene zgrade bez lifta u ulici Antuna Hangija, naselje Koševsko brdo - Gornje Ciglane, općina Centar. U neposrednoj blizini nalazi se supermarket, apoteka, autobuska stanica, caffe bar, par minuta hoda je udaljen od Kosog lifta Ciglane, kao i drugih sadržaja koji su karakteristični za ovu lokaciju. Kvadratura stana iznosi 49 m2, po strukturi je jednosoban, primarne istočne orjentacije. Stan posjeduje: - Dnevni boravak- Trpezariju sa izlazom na balkon- Zatvoreni balkon - lođu- Kuhinju- Kupatilo- Hodnik- Ostavu u stanu- Grijanje na plin - peć- Blindirana vrata, interfon- Vanjsku i unutrašnju drvenu stolariju- Priključke telefona, kablovske televizije i interneta- Parking ispred zgrade - javni CIJENA: 180.000 KM "
82,"
                                                    Stan Sarajevo - Novi Grad 28m2
                                                ",95.000 KM,28,Garsonjera,8,Nenamješten,Dobro stanje,Struja,Prodaja,Dobrinja,,1980-1989,Laminat,,True,,,,,True,,True,True,,26.03.2023,Jug,True,,,,,,,,,"Prodajem garsonjeru na odličnoj lokaciji na Dobrinji.Garsonjera se nalazi na odličnoj lokaciji u blizini svih važnih sadržaja, kao sto su trgovine restorani, javni prevoz. Stan je površine 28m2 na osmom spratu  u zgradi sa 9 spratova sa liftom, sto omogućuje lako i udobno kretanje. Stan se sastoji od dnevnog boravka, kuhinje, hodnika i kupatila. 061/204-123"
83,"
                                                    Stan Ilidža 37m2 Sve info na 065581192
                                                ",Na upit,37,Jednosoban (1),1,Nenamješten,Dobro stanje,Struja,Prodaja,,7,1960-1969,Parket,,,,,,,,,,,,30.06.2023,,,,,,,,,,,Oglas iz usluge. Za sve informacije broj telefona 065581192 Zoran
84,"
                                                    TOTAL PRO/ Dvosoban stan 55m2 / Dobrinja 2
                                                ",205.000 KM,55,Dvosoban (2),1,Nenamješten,Renoviran,Centralno (gradsko),Prodaja,,3,1980-1989,Parket,,,,,,,,,,,,30.06.2023,Ostalo,,,,,,,,,,"TOTAL PRO/ Dvosoban stan 55m2 / Dobrinja 2


Prodaje se dvostrano orijentisan dvosoban stan, uknjižene površine 55 m², pozicioniran na I spratu stambene zgrade sa liftom, u ulici Mustafe Kamerića, naselje Dobrinja II, općina Novi Grad, Sarajevo.

Isti se sastoji od ulaznog hodnika, kupatila, kuhinje sa trpezarijom sa izlazom na balkon i terasu, dnevnog boravka i spavaće sobe.

Stan je adaptiran.

Unutrašnja stolarija drvo, vanjska stolarija PVC sa vanjskim roletnama, podne obloge parket i keramika. Ulazna vrata blinda. Stan posjeduje centralno gradsko grijanje ""Toplane"". Predmetna nekretnina posjeduje podrumski prostor.


Zgrada je okružena mnoštvom lijepo uređenih zelenih površina, a sama lokacija je poznata kao mirno i porodično naselje.

Javni gradski saobraćaj odlično povezuje ovo područje sa ostalim dijelovima grada. Obdanište “Mala šumica “, Osnovne škole “Skender Kulenović” i “Osman Nuri Hadžić”, te Dobrinjska Gimnazija se nalaze unutar naselja na cca 10 minuta lagane šetnje. Banke, pošta, tržni centar “Merkator” i tržnica nalaze u krugu od cca 400 metara,

Odmah pored zgrade je lijepo uređen park za djecu kao i javni parking prostor.


TOTAL PRO NEKRETNINE

Merhemica trg 15

🔗 www.totalpronekretnine.ba 👉 aktuelna ponuda nekretnina

📨 totalpro.realestate@gmail.com

📞 062 337 945


Broj registra: 20/2022"
85,"
                                                    Stan Sarajevo - Novi Grad 43m2
                                                ",120.000 KM,43,Jednoiposoban (1.5),11,Nenamješten,,Centralno (gradsko),Prodaja,Bosanska,,,Parket,,,,,True,,True,,True,True,,02.06.2023,,True,,,,,,,,,"Prodaje se stan na Alipašinu, ulica Bosanska.Stan je površine 43 kvadratna metra i sastoji se od prostranog dnevnog boravka, manje spavaće sobe, kuhinje, toaleta i hodnika. Nalazi se na zadnjem, 11 spratu zgrade koja posjeduje dva lifta.Stan je u izvornom stanu, te ga potrebno adaptirati. Posjeduje sve komunalije. Uredno i uknjiženo vlasništvo.Lokacija zgrade je odlična obzirom da je u neposrednoj blizini tramvajsko, trolejbusko i autobusko stajalište, puno zelenila, dječije igralište, prodavnice, ugostiteljski objekti, veliki javni parking i sve što je potrebno za miran život.Cijena stana je 120.000 KM.Za sve informacije 061/818-937 (Mob/Viber).Broj licence: 01-01.1- 484/22.Posrednik je upisan u Registar posrednika Ministarstva trgovine FBiH pod registarskim brojem 67/2023. "
